year,Fxx,ABC,discarded
1983,0.4,4099339.7474454693,170614.9229369679
1983,0.5,2915572.0998636424,120954.54047739018
1983,0.6,2046745.26930502,84711.82132859736
1983,0.7,1375675.2837786921,56778.74550074491
1984,0.35,5399883.748584069,186796.19723742394
1984,0.4,4539524.882717561,156745.4644591536
1984,0.5,3228768.122245858,111178.06902434694
1984,0.6,2266672.0173612665,77893.23038617686
1984,0.7,1523525.5795877124,52223.16976724424
1985,0.35,5846724.659643214,163906.61891328695
1985,0.4,4915844.644894831,137556.53622519193
1985,0.5,3497148.0921646883,97587.08614854097
1985,0.6,2455446.8794320673,68381.08438772472
1985,0.7,1650596.9922842989,45850.897589242515
1986,0.35,6031791.109190003,144716.99898386098
1986,0.4,5071997.223932413,121462.01161704553
1986,0.5,3608825.328514474,86179.84864453627
1986,0.6,2534158.5229268675,60393.244580346145
1986,0.7,1703662.5896836494,40497.66583605967
1987,0.35,6211964.821191264,111892.44194003016
1987,0.4,5224335.19849762,93909.9247406596
1987,0.5,3718110.2234716713,66628.6436829225
1987,0.6,2611354.562005438,46690.85526733599
1987,0.7,1755794.0157599028,31308.642025846562
1988,0.35,6024440.698019869,102435.52414471957
1988,0.4,5066787.622352218,85989.96557758693
1988,0.5,3606157.93399542,61027.781484088344
1988,0.6,2532814.076035592,42775.30089209347
1988,0.7,1703030.563498363,28687.858930352137
1989,0.35,5772034.899514303,91293.73021273542
1989,0.4,4854686.95231397,76647.72019957216
1989,0.5,3455395.3362773927,54409.069929017314
1989,0.6,2427023.5133322678,38142.03580777296
1989,0.7,1631949.0769581194,25583.53109140498
1990,0.35,5516548.265097254,80070.21246456586
1990,0.4,4639994.774723859,67230.83359569639
1990,0.5,3302788.2439454272,47730.927102019785
1990,0.6,2319937.62682609,33463.82924326297
1990,0.7,1559996.7963130902,22447.371490117872
1991,0.35,5202777.911922511,73725.88775105895
1991,0.4,4376162.928325883,61907.09708085625
1991,0.5,3115078.1124424986,43954.80250847574
1991,0.6,2188131.2555362256,30818.191061752706
1991,0.7,1471389.1030280103,20673.605265639442
1992,0.35,4875021.841613857,63346.89274314639
1992,0.4,4100630.8055898724,53192.20065002537
1992,0.5,2919107.3251465713,37767.43741379658
1992,0.6,2050556.929690944,26480.19862157886
1992,0.7,1378920.6061707793,17763.669693374373
1993,0.35,4499957.030024316,54442.12714551113
1993,0.4,3785266.4813973038,45711.73342814972
1993,0.5,2694740.2988155927,32452.81769642123
1993,0.6,1893014.5965635048,22752.22653542008
1993,0.7,1273013.733374893,15261.977103771396
1994,0.35,3960437.482948085,49316.3104462866
1994,0.4,3331431.111234713,41404.583286378205
1994,0.5,2371650.4680270986,29391.44890780935
1994,0.6,1666047.1876607644,20604.156085930463
1994,0.7,1120381.9433649192,13820.15540237352
1995,0.35,3543772.012395091,43364.36629875251
1995,0.4,2980989.4943807013,36401.9818651518
1995,0.5,2122222.2407949,25834.423882495044
1995,0.6,1490854.177506104,18107.611102216004
1995,0.7,1002581.926687104,12144.078296492224
1996,0.35,3123841.2215566845,40237.6434669263
1996,0.4,2627722.9985420094,33773.950743495865
1996,0.5,1870699.0983763551,23965.77912148345
1996,0.6,1314146.7456814998,16796.068643573934
1996,0.7,883741.4541816373,11263.558775304395
1997,0.35,2714046.798119264,38063.41625903361
1997,0.4,2282972.0343389967,31943.0725388867
1997,0.5,1625226.4764179683,22660.303122587826
1997,0.6,1141683.7725134417,15877.956652336485
1997,0.7,767752.2437305715,10646.231170442272
1998,0.35,2343353.5862566098,36344.32017211863
