year,Fxx,ABC,discarded
1995,0.4,2670457.503662815,44225.0488193703
1995,0.5,1905402.325599026,31437.591753530713
1995,0.6,1341158.5385579497,22068.268595693615
1995,0.7,903482.3460593253,14821.01644307344
1996,0.35,2740280.7943104887,49218.23453458036
1996,0.4,2307909.7942048344,41342.61284193651
1996,0.5,1646673.2812655526,29380.158467382844
1996,0.6,1159022.5681297644,20619.72494161635
1996,0.7,780772.637260802,13845.97130529869
1997,0.35,2347135.026862542,46568.93624125774
1997,0.4,1976760.791996113,39104.01211924687
1997,0.5,1410364.0457367706,27775.162652835414
1997,0.6,992675.7892634572,19486.112528494887
1997,0.7,668703.890825294,13081.058385752598
1998,0.35,1976291.0595907567,47686.68652242553
1998,0.4,1664315.4383455142,40030.61184016537
1998,0.5,1187314.3941037068,28420.519655905708
1998,0.6,835618.2284949215,19932.364291265694
1998,0.7,562870.2513558322,13377.274649138972
1999,0.35,1659029.9136713694,50611.424949079636
1999,0.4,1396975.8622536329,42474.42064334933
1999,0.5,996423.147011064,30143.400689480124
1999,0.6,701183.2764958905,21134.50084025218
1999,0.7,472269.9328403279,14180.881097657735
2000,0.35,1511581.4561706968,58096.89905624423
2000,0.4,1272619.8003656731,48748.29702073151
2000,0.5,907511.3571251484,34587.15240637238
2000,0.6,638507.9479661369,24245.706386493628
2000,0.7,430000.3539289244,16266.146061595846
2001,0.35,1420579.8550715584,64348.397784141824
2001,0.4,1195805.3173367719,53997.033724647525
2001,0.5,852521.1042017874,38314.507424372976
2001,0.6,599708.9872495551,26860.268342519597
2001,0.7,403815.2367787354,18021.074251592072
2002,0.35,1430160.7471044038,69640.75832673672
2002,0.4,1203708.3933299258,58446.591831586564
2002,0.5,857981.5861613379,41480.87639993389
2002,0.6,603461.4007257627,29084.66339923105
2002,0.7,406296.0967056481,19515.84052208364
2003,0.35,1477020.6766613978,71529.68919384456
2003,0.4,1243072.7947073034,60043.982756095764
2003,0.5,885958.2409847379,42627.47266361013
2003,0.6,623096.9693159496,29895.154016215365
2003,0.7,419494.6115199184,20063.047926746003
2004,0.35,1529653.8193510857,69316.22894469796
2004,0.4,1287377.3523232876,58197.58329300586
2004,0.5,917543.0953921378,41329.07424114516
2004,0.6,645314.7076831587,28990.891198949532
2004,0.7,434454.50727123104,19459.439402341908
2005,0.35,1556096.650894128,64388.913863710535
2005,0.4,1309717.4768279244,54065.97311695749
