year,Project_cde,trip_no,Adfg,Vessel,date,julian_day,Stat,Spp_cde,set,no_hooks,hooks_bare,hooks_bait,hook_invalid,hooks_sablefish,discard_status_cde,discard_status
1988,603,1,NA,NA,1988-08-19,232,345701,710,12,102,35,33,0,31,00,Unknown
1996,603,1,NA,NA,1996-08-19,232,345631,710,8,100,43,30,0,26,00,Unknown
1989,603,1,NA,NA,1989-08-23,235,345731,710,34,100,1,95,0,4,00,Unknown
1995,603,1,NA,NA,1995-09-07,250,345731,710,52,100,70,2,0,23,00,Unknown
1989,603,1,NA,NA,1989-08-08,220,345701,710,3,98,24,32,0,30,00,Unknown
1996,603,1,NA,NA,1996-08-17,230,345631,710,3,102,66,16,0,13,00,Unknown
1990,603,1,NA,NA,1990-09-03,246,345701,710,24,100,40,20,0,34,00,Unknown
1996,603,1,NA,NA,1996-08-23,236,345701,710,16,98,34,55,0,8,00,Unknown
1992,603,1,NA,NA,1992-08-24,237,345731,710,20,100,19,65,0,9,00,Unknown
1996,603,1,NA,NA,1996-08-23,236,345701,710,16,99,24,52,0,17,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,10,100,45,25,0,29,00,Unknown
1994,603,1,NA,NA,1994-08-24,236,345731,710,3,105,21,58,0,22,00,Unknown
1989,603,1,NA,NA,1989-08-21,233,345701,710,32,98,13,78,0,7,00,Unknown
1994,603,1,NA,NA,1994-09-01,244,345631,710,25,100,13,82,0,5,00,Unknown
1992,603,1,NA,NA,1992-08-30,243,345701,710,36,100,16,73,0,8,00,Unknown
1995,603,1,NA,NA,1995-08-27,239,345701,710,17,100,21,40,0,31,00,Unknown
1994,603,1,NA,NA,1994-08-26,238,345731,710,10,100,56,0,0,42,00,Unknown
1988,603,1,NA,NA,1988-08-18,231,345631,710,8,93,34,34,0,23,00,Unknown
1993,603,1,NA,NA,1993-09-02,245,345731,710,25,97,43,31,0,20,00,Unknown
1995,603,1,NA,NA,1995-09-01,244,345631,710,33,102,59,1,0,40,00,Unknown
1990,603,1,NA,NA,1990-09-07,250,345631,710,29,100,21,71,0,6,00,Unknown
1991,603,1,NA,NA,1991-08-28,240,345731,710,33,100,16,76,0,8,00,Unknown
1992,603,1,NA,NA,1992-08-19,232,345631,710,5,95,26,52,0,17,00,Unknown
1992,603,1,NA,NA,1992-08-30,243,345701,710,35,100,18,62,0,19,00,Unknown
1996,603,1,NA,NA,1996-08-28,241,345731,710,29,101,30,45,0,23,00,Unknown
1995,603,1,NA,NA,1995-08-25,237,345701,710,10,101,37,46,0,13,00,Unknown
1991,603,1,NA,NA,1991-08-23,235,345631,710,28,100,20,60,0,17,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,10,101,53,22,0,24,00,Unknown
1988,603,1,NA,NA,1988-08-20,233,345701,710,14,100,28,43,0,27,00,Unknown
1990,603,1,NA,NA,1990-08-29,241,345731,710,12,99,20,54,0,20,00,Unknown
1992,603,1,NA,NA,1992-08-31,244,345701,710,38,100,29,32,0,31,00,Unknown
2018,603,2,57935,kaia,2018-08-05,217,345631,710,2,44,14,2,4,1,00,Unknown
1996,603,1,NA,NA,1996-08-30,243,345731,710,34,99,43,23,0,30,00,Unknown
1994,603,1,NA,NA,1994-09-02,245,345701,710,29,99,48,7,0,39,00,Unknown
1995,603,1,NA,NA,1995-09-02,245,345631,710,35,100,24,41,0,25,00,Unknown
1995,603,1,NA,NA,1995-09-08,251,345731,710,57,100,20,28,0,43,00,Unknown
1990,603,1,NA,NA,1990-08-27,239,345731,710,5,101,8,69,0,17,00,Unknown
1996,603,1,NA,NA,1996-08-31,244,345731,710,36,100,44,37,0,13,00,Unknown
1992,603,1,NA,NA,1992-08-30,243,345701,710,33,102,31,41,0,26,00,Unknown
1990,603,1,NA,NA,1990-09-09,252,345631,710,38,100,42,30,0,23,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,11,101,14,51,0,32,00,Unknown
1996,603,1,NA,NA,1996-08-29,242,345731,710,32,101,34,49,0,15,00,Unknown
1989,603,1,NA,NA,1989-08-11,223,345631,710,14,99,22,62,0,12,00,Unknown
1988,603,1,NA,NA,1988-08-16,229,345631,710,5,100,68,10,0,21,00,Unknown
1995,603,1,NA,NA,1995-08-26,238,345701,710,14,98,34,48,0,16,00,Unknown
2017,603,2,57935,Kaia,2017-08-01,213,345631,710,4,45,8,2,0,1,00,Unknown
1990,603,1,NA,NA,1990-08-28,240,345731,710,6,100,15,63,0,18,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,12,100,41,17,0,39,00,Unknown
1988,603,1,NA,NA,1988-08-16,229,345631,710,5,89,68,0,0,21,00,Unknown
1991,603,1,NA,NA,1991-08-21,233,345631,710,19,102,12,71,0,16,00,Unknown
1990,603,1,NA,NA,1990-09-03,246,345701,710,24,100,14,68,0,11,00,Unknown
1995,603,1,NA,NA,1995-08-29,241,345631,710,21,100,37,15,0,43,00,Unknown
1993,603,1,NA,NA,1993-08-31,243,345701,710,17,97,43,23,0,27,00,Unknown
1995,603,1,NA,NA,1995-09-04,247,345731,710,41,100,59,9,0,31,00,Unknown
1988,603,1,NA,NA,1988-08-20,233,345701,710,14,94,49,22,0,20,00,Unknown
1989,603,1,NA,NA,1989-08-10,222,345631,710,9,99,10,85,0,4,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,10,99,37,46,0,16,00,Unknown
1990,603,1,NA,NA,1990-09-01,244,345701,710,16,101,21,78,0,1,00,Unknown
2017,603,2,57935,Kaia,2017-08-02,214,345701,710,7,45,12,8,2,1,00,Unknown
1995,603,1,NA,NA,1995-08-26,238,345701,710,14,100,36,45,0,17,00,Unknown
1995,603,1,NA,NA,1995-08-27,239,345701,710,17,99,33,21,0,37,00,Unknown
1994,603,1,NA,NA,1994-08-31,243,345631,710,23,99,45,19,0,23,00,Unknown
1996,603,1,NA,NA,1996-08-30,243,345731,710,35,99,55,15,0,29,00,Unknown
1995,603,1,NA,NA,1995-09-07,250,345731,710,51,98,24,34,0,34,00,Unknown
1992,603,1,NA,NA,1992-08-26,239,345731,710,29,100,16,75,0,7,00,Unknown
1990,603,1,NA,NA,1990-08-27,239,345731,710,1,100,24,58,0,16,00,Unknown
1990,603,1,NA,NA,1990-09-02,245,345701,710,19,100,17,60,0,21,00,Unknown
1996,603,1,NA,NA,1996-08-19,232,345631,710,8,100,39,38,0,21,00,Unknown
1990,603,1,NA,NA,1990-09-09,252,345631,710,38,100,58,16,0,26,00,Unknown
1988,603,1,NA,NA,1988-08-16,229,345631,710,4,100,18,63,0,19,00,Unknown
1990,603,1,NA,NA,1990-09-07,250,345631,710,28,100,18,72,0,10,00,Unknown
1990,603,1,NA,NA,1990-08-27,239,345731,710,4,101,16,71,0,13,00,Unknown
1994,603,1,NA,NA,1994-08-25,237,345731,710,8,100,31,39,0,21,00,Unknown
1992,603,1,NA,NA,1992-08-31,244,345701,710,37,100,22,39,0,29,00,Unknown
1990,603,1,NA,NA,1990-08-29,241,345731,710,11,100,34,53,0,11,00,Unknown
1992,603,1,NA,NA,1992-08-27,240,345701,710,31,100,8,85,0,5,00,Unknown
1990,603,1,NA,NA,1990-09-09,252,345631,710,36,100,33,44,0,18,00,Unknown
1990,603,1,NA,NA,1990-09-07,250,345631,710,29,99,9,88,0,1,00,Unknown
1995,603,1,NA,NA,1995-08-23,235,345701,710,2,96,55,11,0,26,00,Unknown
1994,603,1,NA,NA,1994-08-28,240,345631,710,14,99,25,50,0,14,00,Unknown
1994,603,1,NA,NA,1994-08-26,238,345731,710,9,99,45,7,0,45,00,Unknown
1994,603,1,NA,NA,1994-08-26,238,345731,710,12,100,21,51,0,25,00,Unknown
1995,603,1,NA,NA,1995-08-27,239,345701,710,18,100,25,55,0,20,00,Unknown
1995,603,1,NA,NA,1995-08-28,240,345701,710,19,98,40,20,0,37,00,Unknown
1995,603,1,NA,NA,1995-08-30,242,345631,710,25,98,35,26,0,28,00,Unknown
1989,603,1,NA,NA,1989-08-24,236,345731,710,39,100,25,61,0,12,00,Unknown
1990,603,1,NA,NA,1990-09-08,251,345631,710,31,100,60,31,0,7,00,Unknown
1994,603,1,NA,NA,1994-08-24,236,345731,710,5,99,40,14,0,38,00,Unknown
1994,603,1,NA,NA,1994-09-02,245,345701,710,26,100,26,47,0,23,00,Unknown
1992,603,1,NA,NA,1992-08-21,234,345631,710,14,101,19,72,0,8,00,Unknown
1990,603,1,NA,NA,1990-09-09,252,345631,710,36,100,29,47,0,18,00,Unknown
1992,603,1,NA,NA,1992-08-29,242,345701,710,32,100,16,72,0,8,00,Unknown
1996,603,1,NA,NA,1996-08-20,233,345631,710,11,98,46,24,0,27,00,Unknown
1989,603,1,NA,NA,1989-08-09,221,345701,710,4,101,13,61,0,25,00,Unknown
1989,603,1,NA,NA,1989-08-16,228,345631,710,16,100,24,56,0,19,00,Unknown
1988,603,1,NA,NA,1988-08-15,228,345631,710,2,97,18,67,0,12,00,Unknown
1993,603,1,NA,NA,1993-09-06,249,345701,710,33,99,20,73,0,5,00,Unknown
1996,603,1,NA,NA,1996-08-28,241,345731,710,29,98,36,35,0,25,00,Unknown
1989,603,1,NA,NA,1989-08-09,221,345701,710,4,99,9,74,0,13,00,Unknown
1990,603,1,NA,NA,1990-09-07,250,345631,710,30,100,34,45,0,15,00,Unknown
1993,603,1,NA,NA,1993-08-24,236,345631,710,2,97,54,3,0,38,00,Unknown
1993,603,1,NA,NA,1993-09-06,249,345701,710,33,97,46,48,0,3,00,Unknown
1992,603,1,NA,NA,1992-08-30,243,345701,710,34,100,29,41,0,14,00,Unknown
1994,603,1,NA,NA,1994-08-28,240,345631,710,14,99,47,22,0,15,00,Unknown
1996,603,1,NA,NA,1996-08-31,244,345731,710,36,102,36,36,0,26,00,Unknown
1995,603,1,NA,NA,1995-08-31,243,345631,710,28,103,55,14,0,33,00,Unknown
1993,603,1,NA,NA,1993-09-08,251,345701,710,38,100,25,46,0,25,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,12,98,35,41,0,20,00,Unknown
1988,603,1,NA,NA,1988-08-20,233,345701,710,14,93,28,30,0,26,00,Unknown
1995,603,1,NA,NA,1995-08-27,239,345701,710,20,99,40,42,0,14,00,Unknown
1990,603,1,NA,NA,1990-09-03,246,345701,710,21,100,10,87,0,1,00,Unknown
1996,603,1,NA,NA,1996-08-31,244,345701,710,37,99,39,32,0,25,00,Unknown
1995,603,1,NA,NA,1995-09-07,250,345731,710,56,102,55,10,0,34,00,Unknown
1992,603,1,NA,NA,1992-08-21,234,345631,710,16,100,13,84,0,1,00,Unknown
1996,603,1,NA,NA,1996-08-27,240,345731,710,26,100,56,1,0,40,00,Unknown
1995,603,1,NA,NA,1995-09-05,248,345731,710,43,102,39,22,0,36,00,Unknown
1993,603,1,NA,NA,1993-09-01,244,345731,710,22,101,32,51,0,15,00,Unknown
1990,603,1,NA,NA,1990-09-06,249,345631,710,27,101,45,9,0,13,00,Unknown
1991,603,1,NA,NA,1991-08-29,241,345731,710,38,101,21,56,0,23,00,Unknown
1995,603,1,NA,NA,1995-08-27,239,345701,710,15,95,40,17,0,25,00,Unknown
1996,603,1,NA,NA,1996-08-25,238,345701,710,22,99,41,22,0,33,00,Unknown
1989,603,1,NA,NA,1989-08-24,236,345731,710,41,99,12,74,0,9,00,Unknown
1989,603,1,NA,NA,1989-08-11,223,345631,710,12,100,8,82,0,6,00,Unknown
1993,603,1,NA,NA,1993-09-03,246,345731,710,29,98,18,60,0,18,00,Unknown
1996,603,1,NA,NA,1996-08-24,237,345701,710,18,101,29,62,0,7,00,Unknown
1994,603,1,NA,NA,1994-09-04,247,345701,710,33,99,38,24,0,30,00,Unknown
1989,603,1,NA,NA,1989-08-11,223,345631,710,13,101,15,75,0,9,00,Unknown
1993,603,1,NA,NA,1993-08-28,240,345631,710,15,100,20,57,0,23,00,Unknown
1993,603,1,NA,NA,1993-08-31,243,345731,710,21,98,43,24,0,28,00,Unknown
1995,603,1,NA,NA,1995-09-06,249,345731,710,47,100,34,18,0,44,00,Unknown
1991,603,1,NA,NA,1991-08-30,242,345631,710,40,100,13,61,0,19,00,Unknown
1989,603,1,NA,NA,1989-08-18,230,345701,710,22,100,16,68,0,13,00,Unknown
1993,603,1,NA,NA,1993-08-28,240,345631,710,16,99,32,33,0,28,00,Unknown
1988,603,1,NA,NA,1988-08-16,229,345631,710,4,88,17,54,0,17,00,Unknown
1990,603,1,NA,NA,1990-08-29,241,345731,710,10,101,9,89,0,1,00,Unknown
1995,603,1,NA,NA,1995-09-05,248,345731,710,45,100,32,18,0,42,00,Unknown
1990,603,1,NA,NA,1990-09-04,247,345701,710,25,99,27,56,0,2,00,Unknown
1994,603,1,NA,NA,1994-08-25,237,345731,710,7,99,37,25,0,28,00,Unknown
1989,603,1,NA,NA,1989-08-19,231,345701,710,25,99,8,72,0,15,00,Unknown
1993,603,1,NA,NA,1993-08-28,240,345631,710,16,100,25,66,0,8,00,Unknown
1992,603,1,NA,NA,1992-08-27,240,345701,710,31,97,13,79,0,5,00,Unknown
1996,603,1,NA,NA,1996-08-26,239,345701,710,24,100,26,70,0,2,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,11,99,44,31,0,24,00,Unknown
1993,603,1,NA,NA,1993-09-01,244,345731,710,22,100,28,61,0,11,00,Unknown
1992,603,1,NA,NA,1992-08-18,231,345701,710,2,100,7,89,0,4,00,Unknown
1996,603,1,NA,NA,1996-08-25,238,345701,710,23,101,31,55,0,8,00,Unknown
1996,603,1,NA,NA,1996-08-24,237,345701,710,19,100,41,41,0,13,00,Unknown
1989,603,1,NA,NA,1989-08-18,230,345701,710,23,100,16,75,0,8,00,Unknown
1991,603,1,NA,NA,1991-08-20,232,345631,710,18,98,25,37,0,31,00,Unknown
1993,603,1,NA,NA,1993-08-25,237,345631,710,5,92,47,17,0,22,00,Unknown
1992,603,1,NA,NA,1992-08-26,239,345731,710,25,100,17,72,0,7,00,Unknown
1989,603,1,NA,NA,1989-08-23,235,345731,710,36,101,8,89,0,3,00,Unknown
1989,603,1,NA,NA,1989-08-09,221,345631,710,6,101,20,68,0,13,00,Unknown
1990,603,1,NA,NA,1990-09-09,252,345631,710,36,101,53,27,0,18,00,Unknown
1995,603,1,NA,NA,1995-09-08,251,345731,710,55,98,33,7,0,52,00,Unknown
1994,603,1,NA,NA,1994-08-30,242,345631,710,21,99,34,41,0,21,00,Unknown
1996,603,1,NA,NA,1996-08-25,238,345701,710,21,100,44,36,0,17,00,Unknown
1993,603,1,NA,NA,1993-09-06,249,345701,710,33,98,33,37,0,26,00,Unknown
1988,603,1,NA,NA,1988-08-17,230,345631,710,7,98,46,11,0,37,00,Unknown
1989,603,1,NA,NA,1989-08-20,232,345701,710,29,100,9,75,0,15,00,Unknown
1989,603,1,NA,NA,1989-08-23,235,345731,710,34,99,7,90,0,2,00,Unknown
1989,603,1,NA,NA,1989-08-11,223,345631,710,14,98,8,76,0,11,00,Unknown
1989,603,1,NA,NA,1989-08-23,235,345731,710,35,100,8,84,0,7,00,Unknown
1989,603,1,NA,NA,1989-08-21,233,345701,710,32,100,1,86,0,10,00,Unknown
1995,603,1,NA,NA,1995-09-01,244,345631,710,34,98,35,44,0,14,00,Unknown
1993,603,1,NA,NA,1993-09-02,245,345731,710,25,99,42,37,0,19,00,Unknown
1991,603,1,NA,NA,1991-08-16,228,345701,710,13,99,6,91,0,1,00,Unknown
1994,603,1,NA,NA,1994-08-26,238,345731,710,10,98,25,47,0,19,00,Unknown
1992,603,1,NA,NA,1992-08-17,230,345701,710,1,96,69,7,0,19,00,Unknown
1994,603,1,NA,NA,1994-08-26,238,345731,710,10,98,30,10,0,56,00,Unknown
1996,603,1,NA,NA,1996-08-26,239,345701,710,24,98,14,80,0,1,00,Unknown
1994,603,1,NA,NA,1994-08-30,242,345631,710,22,100,23,63,0,10,00,Unknown
1991,603,1,NA,NA,1991-08-23,235,345631,710,28,100,12,83,0,5,00,Unknown
1990,603,1,NA,NA,1990-08-27,239,345731,710,5,100,9,79,0,12,00,Unknown
1991,603,1,NA,NA,1991-08-22,234,345631,710,23,100,32,63,0,5,00,Unknown
1995,603,1,NA,NA,1995-09-02,245,345631,710,36,98,47,24,0,21,00,Unknown
1989,603,1,NA,NA,1989-08-16,228,345631,710,17,101,18,74,0,5,00,Unknown
1989,603,1,NA,NA,1989-08-25,237,345731,710,44,100,20,51,0,27,00,Unknown
1989,603,1,NA,NA,1989-08-20,232,345701,710,28,100,8,80,0,10,00,Unknown
1988,603,1,NA,NA,1988-08-23,236,345701,710,16,100,18,59,0,23,00,Unknown
1996,603,1,NA,NA,1996-08-18,231,345631,710,4,99,43,39,0,12,00,Unknown
1994,603,1,NA,NA,1994-08-25,237,345731,710,8,100,45,28,0,26,00,Unknown
1988,603,1,NA,NA,1988-08-24,237,345731,710,19,100,19,72,0,9,00,Unknown
1993,603,1,NA,NA,1993-08-27,239,345631,710,11,100,20,63,0,17,00,Unknown
1989,603,1,NA,NA,1989-08-19,231,345701,710,27,100,13,74,0,13,00,Unknown
1991,603,1,NA,NA,1991-08-28,240,345731,710,32,100,12,77,0,5,00,Unknown
1996,603,1,NA,NA,1996-08-27,240,345731,710,27,97,57,24,0,9,00,Unknown
1996,603,1,NA,NA,1996-08-27,240,345731,710,27,100,74,15,0,10,00,Unknown
1992,603,1,NA,NA,1992-08-25,238,345731,710,22,101,7,87,0,4,00,Unknown
1994,603,1,NA,NA,1994-08-28,240,345631,710,14,100,37,35,0,19,00,Unknown
1995,603,1,NA,NA,1995-09-07,250,345731,710,52,101,73,0,0,22,00,Unknown
1988,603,1,NA,NA,1988-08-15,228,345631,710,2,100,21,56,0,23,00,Unknown
1992,603,1,NA,NA,1992-08-29,242,345701,710,32,100,15,76,0,8,00,Unknown
1995,603,1,NA,NA,1995-09-07,250,345731,710,56,99,41,18,0,32,00,Unknown
1993,603,1,NA,NA,1993-09-01,244,345731,710,22,100,28,49,0,19,00,Unknown
1995,603,1,NA,NA,1995-08-30,242,345631,710,25,101,39,8,0,38,00,Unknown
1990,603,1,NA,NA,1990-08-29,241,345731,710,10,104,18,77,0,8,00,Unknown
1990,603,1,NA,NA,1990-09-08,251,345631,710,31,99,56,29,0,11,00,Unknown
1991,603,1,NA,NA,1991-08-15,227,345731,710,11,98,15,77,0,4,00,Unknown
1992,603,1,NA,NA,1992-08-21,234,345631,710,16,98,19,74,0,5,00,Unknown
1995,603,1,NA,NA,1995-09-02,245,345631,710,36,99,60,16,0,17,00,Unknown
2018,603,2,57935,kaia,2018-08-09,221,345701,710,10,45,22,2,2,1,00,Unknown
1989,603,1,NA,NA,1989-08-20,232,345701,710,28,99,8,74,0,10,00,Unknown
1989,603,1,NA,NA,1989-08-09,221,345631,710,7,97,11,79,0,6,00,Unknown
1995,603,1,NA,NA,1995-09-02,245,345631,710,37,100,52,4,0,41,00,Unknown
1993,603,1,NA,NA,1993-09-04,247,345701,710,32,99,38,34,0,26,00,Unknown
1993,603,1,NA,NA,1993-09-03,246,345731,710,30,100,40,21,0,37,00,Unknown
1988,603,1,NA,NA,1988-08-20,233,345701,710,14,99,25,39,0,27,00,Unknown
1994,603,1,NA,NA,1994-08-28,240,345631,710,13,100,40,44,0,12,00,Unknown
1991,603,1,NA,NA,1991-08-21,233,345631,710,19,101,36,56,0,7,00,Unknown
1989,603,1,NA,NA,1989-08-18,230,345701,710,23,100,25,58,0,13,00,Unknown
1988,603,1,NA,NA,1988-08-15,228,345631,710,2,96,26,44,0,25,00,Unknown
1995,603,1,NA,NA,1995-09-07,250,345731,710,53,100,20,26,0,43,00,Unknown
1994,603,1,NA,NA,1994-08-23,235,345731,710,1,100,25,62,0,12,00,Unknown
1988,603,1,NA,NA,1988-08-26,239,345731,710,23,98,36,17,0,39,00,Unknown
1995,603,1,NA,NA,1995-09-09,252,345731,710,59,101,29,36,0,33,00,Unknown
1995,603,1,NA,NA,1995-09-02,245,345631,710,37,99,46,12,0,36,00,Unknown
2018,603,2,57935,kaia,2018-08-08,220,345701,710,9,46,9,10,3,1,00,Unknown
1995,603,1,NA,NA,1995-08-29,241,345631,710,21,100,35,26,0,31,00,Unknown
1995,603,1,NA,NA,1995-09-06,249,345731,710,50,101,11,68,0,19,00,Unknown
1994,603,1,NA,NA,1994-08-23,235,345731,710,2,100,54,19,0,22,00,Unknown
1994,603,1,NA,NA,1994-08-24,236,345731,710,6,100,68,6,0,21,00,Unknown
1990,603,1,NA,NA,1990-08-28,240,345731,710,7,98,10,82,0,6,00,Unknown
