year,Fxx,ABC,discarded
1993,0.35,5598355.551878256,70460.21094003406
1993,0.4,4712617.406750633,59187.129728427375
1993,0.5,3359222.75733851,42055.663200223855
1993,0.6,2362422.1566553093,29508.357715923416
1993,0.7,1590213.3156794175,19808.415391009592
1994,0.35,4915341.410606598,63688.26935010538
1994,0.4,4137662.599123126,53493.580620714056
1994,0.5,2949383.419367592,38004.69600490168
1994,0.6,2074195.1816434935,26663.266045825534
1994,0.7,1396198.820003975,17897.156416445316
1995,0.35,4385731.447612406,55734.15035421619
1995,0.4,3691921.679586873,46803.99914564917
1995,0.5,2631736.0151753104,33242.797838523074
1995,0.6,1850847.6381807672,23317.726742041094
1995,0.7,1245879.274382501,15649.121455817163
1996,0.35,3854067.2942772657,51796.75012196946
1996,0.4,3244326.327852753,43492.27759423965
1996,0.5,2312632.218004179,30885.092268838118
1996,0.6,1626407.180753967,21661.1408303427
1996,0.7,1094788.621334175,14535.904945619865
1997,0.35,3345785.682890267,49280.98039780906
1997,0.4,2816397.735986366,41370.60611334843
1997,0.5,2007529.7308243583,29368.587221516984
1997,0.6,1411804.495008795,20592.559470881464
1997,0.7,950315.5042587996,13816.26410284943
1998,0.35,2895761.9994281013,47351.36267639802
1998,0.4,2437547.968878878,39734.55997161484
1998,0.5,1737452.4466580295,28189.95096581141
1998,0.6,1221854.8566459306,19757.394467352646
1998,0.7,822447.9513886987,13251.435781712382
1999,0.35,2477345.6657408206,50078.85165129849
1999,0.4,2085200.587065633,42008.75370999861
1999,0.5,1486154.6695317088,29787.87541316622
1999,0.6,1045055.2034621452,20869.455010859692
1999,0.7,703402.667308941,13993.257923388424
2000,0.35,2248162.0951192235,57302.458279322804
2000,0.4,1892099.1891944022,48057.54980322048
2000,0.5,1348319.0649415038,34065.515429293846
2000,0.6,948023.7584797353,23860.534432800658
2000,0.7,638038.4258351601,15995.806550253103
2001,0.35,2078954.1753944072,64841.10376853799
2001,0.4,1749448.748372943,54380.5883295973
2001,0.5,1246407.2865405683,38548.21397751859
2001,0.6,876236.6823274445,27000.63808470491
2001,0.7,589656.7810848407,18101.02667012451
2002,0.35,2039482.4540098717,70034.45323421487
2002,0.4,1716045.911178995,58742.82599095779
2002,0.5,1222408.85669539,41647.52777791394
2002,0.6,859263.641077594,29175.09122804934
2002,0.7,578182.4705141013,19560.591911581636
2003,0.35,2041061.226809429,72027.2497592234
2003,0.4,1717233.316518967,60426.22238901178
2003,0.5,1223103.4763505976,42853.677249298365
2003,0.6,859674.8049524894,30026.43389125149
2003,0.7,578419.3955533295,20134.666529597223
2004,0.35,2057388.122568656,69994.50651083226
2004,0.4,1730931.7729448357,58732.30759249415
2004,0.5,1232819.1099627062,41664.53034886246
2004,0.6,866482.4458574294,29199.39044426032
2004,0.7,582988.86950243,19583.24322485942
2005,0.35,2051653.2023412278,64461.03944697599
2005,0.4,1726156.6296364293,54098.05902739088
2005,0.5,1229471.0797467811,38386.46414769578
2005,0.6,864156.0744397463,26906.846077994767
2005,0.7,581437.3515494722,18048.158587749956
2006,0.35,2038356.369112106,57934.44283868949
2006,0.4,1715076.2569593694,48624.534778372996
2006,0.5,1221693.2560938601,34506.69986702806
2006,0.6,858747.3580931752,24189.421484804618
2006,0.7,577828.0136363237,16226.47784936474
2007,0.35,1996929.022118481,52643.13896198114
2007,0.4,1680314.9906667694,44184.87679057131
2007,0.5,1197034.353911384,31357.51012920123
2007,0.6,841466.3275323309,21982.55206246877
2007,0.7,566226.8726602102,14746.467949199405
2008,0.35,1966956.6164438324,48502.990286020664
2008,0.4,1655177.0783364915,40713.470678848
2008,0.5,1179214.500711168,28897.66048748479
2008,0.6,828984.4636591588,20260.033824533843
2008,0.7,557850.7854921926,13591.938881879563
2009,0.35,1910500.9827350145,44561.16317110778
2009,0.4,1607736.8357357637,37406.77481906338
2009,0.5,1145487.4383878529,26552.865243184504
2009,0.6,805310.6372727058,18617.251646886092
2009,0.7,541938.5009126161,12490.430351715346
2010,0.35,1866410.7591068128,41913.950171728815
2010,0.4,1570689.893510928,35183.311585799514
2010,0.5,1119152.1090115935,24973.245102869783
2010,0.6,786826.6635023019,17509.069573656292
2010,0.7,529515.2983284887,11746.617611429692
2011,0.35,1817363.8889382053,41967.976769282934
2011,0.4,1529432.1324832411,35221.75597513775
2011,0.5,1089774.413231224,24993.18901248752
2011,0.6,766182.4597769526,17519.336821608733
2011,0.7,515627.41221106285,11751.599796726892
2012,0.35,1789020.8333707317,42573.58555762867
2012,0.4,1505568.2339492857,35731.58220099649
2012,0.5,1072758.5119060592,25356.592869622775
2012,0.6,754213.1066467343,17774.879419970905
2012,0.7,507569.1468295374,11923.421046815227
2013,0.35,1751949.3730376204,40523.41683796398
2013,0.4,1474369.0682517432,34016.68719080536
2013,0.5,1050526.7956607079,24145.79520798181
2013,0.6,738582.1156744153,16929.23474766679
