year,Fxx,ABC,discarded
1998,0.35,3681573.6394380457,56961.954769322125
1998,0.4,3097104.9238731014,47786.46486767243
1998,0.5,2205073.403294464,33881.97123087333
1998,0.6,1548968.920285178,23729.336545894206
1998,0.7,1041267.5101971059,15899.37636264721
1999,0.35,3184676.072577161,60572.870581193994
1999,0.4,2678944.1843845276,50797.54811312019
1999,0.5,1907193.7857801937,35997.573114350715
1999,0.6,1339641.3179440647,25201.214967017208
1999,0.7,900509.6368904669,16880.559630912972
2000,0.35,2904841.5721453037,70323.15845106594
2000,0.4,2443343.393945778,58952.51555461936
2000,0.5,1739247.1355282157,41753.36639265334
2000,0.6,1221562.9035318282,29218.984437348518
2000,0.7,821080.6439613083,19565.758384453176
2001,0.35,2702544.4945614585,81258.1549506293
2001,0.4,2272910.017511894,68121.82813907287
2001,0.5,1617633.3382378847,48249.97544928524
2001,0.6,1135998.184890814,33766.44312612949
2001,0.7,763491.3503341349,22611.400692446263
2002,0.35,2628659.646362661,89043.52272136539
2002,0.4,2210534.3388328943,74665.10818365528
2002,0.5,1572987.3414237662,52902.020723792324
2002,0.6,1104516.3965998902,37030.8886637158
2002,0.7,742266.6312477185,24801.930192867923
2003,0.35,2609817.6692817956,91770.8588053005
2003,0.4,2194547.132484886,76969.67765196622
2003,0.5,1561458.4835163048,54553.58743487995
2003,0.6,1096343.3405874385,38196.42974542388
2003,0.7,736734.0702272698,25587.412279696033
2004,0.35,2608760.819177563,88189.25769084555
2004,0.4,2193663.0317579466,73981.9836007238
2004,0.5,1560833.8470703338,52453.26782134138
2004,0.6,1095906.7574303395,36734.58456322102
2004,0.7,736441.6175261843,24612.603901718776
2005,0.35,2567098.620765636,81176.2546923493
2005,0.4,2158687.9426192115,68110.61853280709
2005,0.5,1536009.8883157116,48303.082737800854
2005,0.6,1078508.1452013163,33834.480077769804
2005,0.7,724765.7154769042,22672.78157195651
2006,0.35,2531580.4912807983,72534.02178453398
2006,0.4,2128958.9879679387,60862.06949998808
2006,0.5,1515004.2040904735,43165.39658422453
2006,0.6,1063834.1099379482,30237.198522607774
2006,0.7,714943.2105879834,20262.9725022621
2007,0.35,2451868.825819679,66726.91990433628
2007,0.4,2061996.0068217614,55988.39445045766
2007,0.5,1467428.4739553884,39707.7492503746
2007,0.6,1030465.2479069262,27814.598137654913
2007,0.7,692537.7815991828,18639.238207458304
2008,0.35,2399942.586479827,62455.32030298222
2008,0.4,2018383.5345828861,52404.54663659557
2008,0.5,1436452.3858950755,37166.36353239596
2008,0.6,1008744.0297711445,26034.5655860974
2008,0.7,677955.6695844254,17446.478821498742
2009,0.35,2329812.1005743463,58323.83040972335
2009,0.4,1959443.5800822221,48940.01550071197
2009,0.5,1394549.168812357,34711.47370958099
2009,0.6,979339.6570235557,24316.074720777815
2009,0.7,658204.9075826895,16295.45006377069
2010,0.35,2275056.9480833467,55904.990782161796
2010,0.4,1913420.889309306,46908.72584151917
