year,Mgmt_area,Project_cde,trip_no,Adfg,Vessel,date,julian_day,Stat,Spp_cde,set,start_lat,start_lon,end_lat,end_lon,depth,length,weight,age,Sex,Maturity,age_type_code,age_readability,tag_no,discard_status,release_condition_cde
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090311,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090310,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090309,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,T-090308,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090307,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090306,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,T-090305,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,T-090304,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090303,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090302,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090301,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,T-090300,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090325,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090326,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,T-090327,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,T-090328,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090329,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090330,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090331,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090332,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090333,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090334,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090335,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,T-090336,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090337,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090338,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,T-090339,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090340,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090341,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,T-090342,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090343,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090344,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,58,2.34,NA,NA,NA,NA,NA,T-090345,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,70,3.85,NA,NA,NA,NA,NA,T-090346,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,2.25,NA,NA,NA,NA,NA,T-090347,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,T-090348,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,58,2.3000000000000003,NA,NA,NA,NA,NA,T-090349,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,T-090350,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,T-090351,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090352,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090353,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090354,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090355,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090356,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090357,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090358,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090359,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090360,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090361,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090362,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090363,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,53,1.6600000000000001,NA,NA,NA,NA,NA,T-090364,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,81,5.42,NA,NA,NA,NA,NA,T-090365,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090366,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,T-090367,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090368,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090369,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090370,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090371,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090372,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,T-090373,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090374,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090375,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,54,2.1,NA,NA,NA,NA,NA,T-090376,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,T-090377,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090378,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090379,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090380,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090381,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,49,1.35,NA,NA,NA,NA,NA,T-090382,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090383,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,55,1.85,NA,NA,NA,NA,NA,T-090384,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090385,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,T-090386,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090387,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090388,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090389,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,T-090390,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090391,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090392,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,T-090393,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090394,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090395,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090396,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090397,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090398,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090399,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090400,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090401,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090402,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090403,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090404,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,T-090405,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090406,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,T-090407,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090408,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090409,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,T-090410,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090411,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090412,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090413,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090414,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090415,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090416,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090417,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090418,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090419,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090420,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090421,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090422,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,53,1.81,NA,NA,NA,NA,NA,T-090423,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090424,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,T-090425,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090426,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090427,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090428,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090429,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090430,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090431,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090432,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090433,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090434,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090435,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,T-090436,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090437,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,T-090438,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090439,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,T-090440,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090441,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090442,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090443,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T-090444,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090445,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090446,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090447,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090448,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090449,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090450,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,T-090451,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,79,4.34,NA,NA,NA,NA,NA,T-090452,Tagged and released,01
