year,catch,sigma_catch,ln_catch,upper_catch,lower_catch,fsh_cpue,sigma_fsh_cpue,ln_fsh_cpue,upper_fsh_cpue,lower_fsh_cpue,srv_cpue,sigma_srv_cpue,ln_srv_cpue,std,upper_srv_cpue,lower_srv_cpue,mr,sigma_mr,ln_mr,upper_mr,lower_mr,index
1994,2151.45671823984,0.05,7.673900435060195,3317.0627302686553,1395.4412041174915,0.4502921182,0.2,-0.7978587552699479,1.0398164027874763,0.1949988393811524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
1995,2084.91038106928,0.05,7.642481150608534,3214.463234311816,1352.2790525930734,0.380265678056,0.2,-0.9668851177762035,0.8781110605273981,0.16467391473299597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
1996,2146.8924442039197,0.05,7.671776700771087,3310.025645503281,1392.4808024498172,0.33133308028,0.2,-1.1046311247364191,0.7651157054190777,0.14348367091445616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
1997,2178.7604890993603,0.05,7.686511411096588,3359.159008546568,1413.150510822173,0.31107628402475235,0.165078045043962,-1.1677171106274347,0.6692550508358875,0.1445912949955123,0.19,0.39786342021188675,-1.6607312068216509,1.134338790236376,0.5907322460611427,0.061110596620898745,NA,NA,NA,NA,NA,17
1998,2163.47105943896,0.05,7.679469182842842,3335.5861442339283,1403.2337414283484,0.22774289072594625,0.11844549571264786,-1.479537958583079,0.43877308472985066,0.1182087645784935,0.2,0.39283070671808334,-1.6094379124341003,1.1282148111158343,0.6180270196780681,0.0647220893689019,NA,NA,NA,NA,NA,18
1999,1407.31423982928,0.05,7.249438372496971,2169.7622709013613,912.7881870687672,0.21515794964375423,0.11099059372561006,-1.5363828710714957,0.406362983425961,0.11392017773030948,0.2,0.40752928838723373,-1.6094379124341003,1.1459479715716379,0.6290843428669776,0.06358447870074897,NA,NA,NA,NA,NA,19
2e3,1440.48632997328,0.05,7.2727360647005055,2220.906178640204,934.3037030543766,0.21120615089128564,0.10861000853755373,-1.5549206040358283,0.3963097472162287,0.1125585189050981,0.17,0.5550615854390427,-1.7719568419318752,1.3023534845893652,0.6252502200141958,0.04622149513093151,NA,NA,NA,NA,NA,20
2001,1025.1284796217599,0.05,6.932573229689807,1580.517723020834,664.9013702440897,0.2324912399878504,0.11249793627457283,-1.458902732136151,0.44089618753129994,0.12259615347036992,0.25,0.40348095147362434,-1.3862943611198906,1.1411098194353475,0.7825601099548111,0.07986606933441709,NA,NA,NA,NA,NA,21
2002,958.5747307579201,0.05,6.865447525808421,1477.9067998987023,621.7344114734433,0.28971792511339006,0.13343832076431417,-1.2388475013768114,0.579740756446038,0.14478277609212847,0.22,0.3929945902853887,-1.5141277326297755,1.1284151029894123,0.679965899651756,0.07118004009434595,NA,NA,NA,NA,NA,22
2003,959.7824376015999,0.05,6.866706631279657,1479.7688124255162,622.5177337117565,0.35019140810006677,0.16927066152783887,-1.0492753936972985,0.7601840772053162,0.1613214824992784,0.23,0.3753252348185993,-1.4696759700589417,1.1064720586706998,0.6954446099640064,0.07606644618719224,NA,NA,NA,NA,NA,23
