Source,Sex,age,weight,samples
LL fishery,Male,16,3.2918,346
Pot fishery,Male,16,3.604,5
LL survey,Combined,16,3.7856,400
LL fishery,Combined,16,4.2185,949
Pot fishery,Combined,16,3.87,7
LL survey,Female,17,4.6551,171
LL fishery,Female,17,4.9798,590
Pot fishery,Female,17,4.4333,3
LL survey,Male,17,3.0076,157
LL fishery,Male,17,3.3195,318
Pot fishery,Male,17,3.675,2
LL survey,Combined,17,3.8666,328
LL fishery,Combined,17,4.3983,908
Pot fishery,Combined,17,4.13,5
LL survey,Female,18,4.6755,141
LL fishery,Female,18,5.1595,493
Pot fishery,Female,18,4.2075,NA
LL survey,Male,18,3.1278,122
LL fishery,Male,18,3.3515,304
Pot fishery,Male,18,2.7325,4
LL survey,Combined,18,3.9576,263
LL fishery,Combined,18,4.4699,797
Pot fishery,Combined,18,2.7325,4
LL survey,Female,19,5.2727,126
LL fishery,Female,19,5.2693,480
Pot fishery,Female,19,3.9817,6
LL survey,Male,19,3.143,128
LL fishery,Male,19,3.3802,272
Pot fishery,Male,19,3.2167,3
LL survey,Combined,19,4.1994,254
LL fishery,Combined,19,4.586,752
Pot fishery,Combined,19,3.7267,9
LL survey,Female,20,5.165,123
LL fishery,Female,20,5.4267,402
Pot fishery,Female,20,4.15,3
LL survey,Male,20,3.2555,128
LL fishery,Male,20,3.4122,268
Pot fishery,Male,20,3.2767,3
LL survey,Combined,20,4.1912,251
LL fishery,Combined,20,4.6209,670
Pot fishery,Combined,20,3.7133,6
LL survey,Female,21,5.2417,122
LL fishery,Female,21,5.5961,367
Pot fishery,Female,21,4.65,NA
LL survey,Male,21,3.1475,123
LL fishery,Male,21,3.4262,271
Pot fishery,Male,21,3.41,2
LL survey,Combined,21,4.1903,245
LL fishery,Combined,21,4.6744,638
Pot fishery,Combined,21,3.41,2
LL survey,Female,22,5.257,103
LL fishery,Female,22,5.5644,346
Pot fishery,Female,22,5.15,2
LL survey,Male,22,3.3127,132
LL fishery,Male,22,3.4974,267
Pot fishery,Male,22,3.76,3
LL survey,Combined,22,4.1649,235
LL fishery,Combined,22,4.6641,613
Pot fishery,Combined,22,4.316,5
LL survey,Female,23,5.5322,91
LL fishery,Female,23,5.8728,319
Pot fishery,Female,23,3.7433,3
LL survey,Male,23,3.4738,143
LL fishery,Male,23,3.5023,221
Pot fishery,Male,23,5.105,2
LL survey,Combined,23,4.2743,234
LL fishery,Combined,23,4.9026,540
Pot fishery,Combined,23,4.288,5
LL survey,Female,24,5.71,85
LL fishery,Female,24,5.8005,287
Pot fishery,Female,24,6.41,3
LL survey,Male,24,3.3325,103
LL fishery,Male,24,3.4674,231
Pot fishery,Male,24,2.6,1
LL survey,Combined,24,4.4074,188
LL fishery,Combined,24,4.7601,518
Pot fishery,Combined,24,5.4575,4
LL survey,Female,25,5.8747,75
LL fishery,Female,25,5.9138,271
Pot fishery,Female,25,6.843333333333334,NA
LL survey,Male,25,3.467,103
LL fishery,Male,25,3.6469,199
Pot fishery,Male,25,2.6633500000000003,NA
LL survey,Combined,25,4.4815,178
LL fishery,Combined,25,4.954,470
Pot fishery,Combined,25,4.0921,NA
LL survey,Female,26,6.1979,84
LL fishery,Female,26,5.9673,264
Pot fishery,Female,26,7.276666666666666,NA
LL survey,Male,26,3.3792,95
LL fishery,Male,26,3.624,256
Pot fishery,Male,26,2.7267,3
LL survey,Combined,26,4.7019,179
LL fishery,Combined,26,4.8137,520
Pot fishery,Combined,26,2.7267,3
LL survey,Female,27,6.1424,66
LL fishery,Female,27,6.134,242
Pot fishery,Female,27,7.71,1
LL survey,Male,27,3.3886,76
LL fishery,Male,27,3.6475,258
Pot fishery,Male,27,2.88,1
LL survey,Combined,27,4.6685,142
LL fishery,Combined,27,4.851,500
Pot fishery,Combined,27,5.295,2
LL survey,Female,28,6.4683,63
LL fishery,Female,28,6.2385,258
Pot fishery,Female,28,4.86,1
LL survey,Male,28,3.3468,77
LL fishery,Male,28,3.6577,248
Pot fishery,Male,28,3.54,NA
LL survey,Combined,28,4.7514,140
LL fishery,Combined,28,4.9736,506
Pot fishery,Combined,28,4.86,1
LL survey,Female,29,5.9902,41
LL fishery,Female,29,6.344,230
Pot fishery,Female,29,4.86,NA
LL survey,Male,29,3.4873,63
LL fishery,Male,29,3.624,232
Pot fishery,Male,29,4.2,1
LL survey,Combined,29,4.474,104
LL fishery,Combined,29,4.9781,462
Pot fishery,Combined,29,4.2,1
LL survey,Female,30,6.1419,43
LL fishery,Female,30,6.3592,192
Pot fishery,Female,30,4.86,NA
LL survey,Male,30,3.7024,82
LL fishery,Male,30,3.6597,204
Pot fishery,Male,30,3.825,2
LL survey,Combined,30,4.5416,125
LL fishery,Combined,30,4.9685,396
Pot fishery,Combined,30,3.825,2
LL survey,Female,31,6.8787,47
LL fishery,Female,31,6.1729,181
Pot fishery,Female,31,4.86,NA
LL survey,Male,31,3.4563,59
LL fishery,Male,31,3.6378,219
Pot fishery,Male,31,2.9767,3
LL survey,Combined,31,4.9738,106
LL fishery,Combined,31,4.785,400
Pot fishery,Combined,31,2.9767,3
