Source,Sex,year,mean,min,max,variable
LL fishery,Female,2004,72.5073670723895,50,108,Fork length
LL fishery,Female,2005,74.41620333598094,50,109,Fork length
LL fishery,Female,2006,72.73209302325581,50,106,Fork length
LL fishery,Female,2007,73.48795180722891,50,105,Fork length
LL fishery,Female,2008,73.87329434697855,54,104,Fork length
LL fishery,Female,2009,73.90592168099332,50,107,Fork length
LL fishery,Female,2010,73.57286432160804,52,104,Fork length
LL fishery,Female,2011,73.49870129870129,54,101,Fork length
LL fishery,Female,2012,73.02467811158799,54,96,Fork length
LL fishery,Female,2013,72.52161785216178,51,104,Fork length
LL fishery,Female,2014,74.20101781170483,49,107,Fork length
LL fishery,Female,2015,73.87862796833772,47,106,Fork length
LL fishery,Female,2016,75.32043010752689,47,101,Fork length
LL fishery,Female,2017,74.4797619047619,46,106,Fork length
LL fishery,Female,2018,73.8980343980344,50,106,Fork length
LL fishery,Female,2019,72.03140096618357,50,117,Fork length
LL fishery,Female,2020,69.16071428571429,51,102,Fork length
LL fishery,Female,2021,68.6285140562249,49,101,Fork length
LL fishery,Female,2022,69.06479217603912,47,100,Fork length
LL fishery,Male,2002,64.37549019607843,46,90,Fork length
LL fishery,Male,2003,64.41546526867627,50,83,Fork length
LL fishery,Male,2004,64.45549738219896,49,85,Fork length
LL fishery,Male,2005,65.38142292490119,51,92,Fork length
LL fishery,Male,2006,65.19704433497537,52,87,Fork length
LL fishery,Male,2007,65.64271844660195,53,83,Fork length
LL fishery,Male,2008,65.69904761904762,55,88,Fork length
LL fishery,Male,2009,66.13051823416507,56,81,Fork length
LL fishery,Male,2010,65.91454545454546,48,87,Fork length
LL fishery,Male,2011,66.09272727272727,52,88,Fork length
LL fishery,Male,2012,65.62842975206611,53,90,Fork length
LL fishery,Male,2013,64.86217008797654,49,86,Fork length
LL fishery,Male,2014,66.32653778558876,52,94,Fork length
LL fishery,Male,2015,66.65631929046563,50,94,Fork length
LL fishery,Male,2016,65.83783783783784,43,85,Fork length
LL fishery,Male,2017,65.65282392026577,46,81,Fork length
LL fishery,Male,2018,65.69762845849803,50,84,Fork length
LL fishery,Male,2019,66.19493177387915,46,90,Fork length
LL fishery,Male,2020,64.68101761252446,50,80,Fork length
LL fishery,Male,2021,63.89539748953975,50,80,Fork length
LL fishery,Male,2022,64.52996845425868,51,81,Fork length
LL survey,Female,1997,73.67312252964427,47,102,Fork length
LL survey,Female,1998,72.10204081632654,43,98,Fork length
LL survey,Female,1999,66.35658914728683,44,98,Fork length
LL survey,Female,2000,67.33009708737865,45,111,Fork length
LL survey,Female,2001,70.25966850828729,47,103,Fork length
LL survey,Female,2002,69.18027210884354,46,109,Fork length
LL survey,Female,2003,68.41968911917098,47,103,Fork length
LL survey,Female,2004,68.5873417721519,48,108,Fork length
LL survey,Female,2005,72.20517928286853,46,111,Fork length
LL survey,Female,2006,70.52884615384616,50,100,Fork length
LL survey,Female,2007,69.6593137254902,48,106,Fork length
LL survey,Female,2008,71.26190476190476,49,101,Fork length
LL survey,Female,2009,71.37808219178082,46,100,Fork length
LL survey,Female,2010,71.875,44,98,Fork length
LL survey,Female,2011,68.93972602739726,48,95,Fork length
LL survey,Female,2012,67.99753086419753,41,95,Fork length
LL survey,Female,2013,68.9235294117647,49,98,Fork length
LL survey,Female,2014,69.90877192982457,50,104,Fork length
LL survey,Female,2015,69.4103448275862,46,96,Fork length
LL survey,Female,2016,67.5111111111111,46,109,Fork length
LL survey,Female,2017,66.21902017291066,42,98,Fork length
LL survey,Female,2018,64.9193083573487,43,107,Fork length
LL survey,Female,2019,63.433085501858734,44,95,Fork length
LL survey,Female,2020,62.949333333333335,47,97,Fork length
LL survey,Female,2021,62.16260162601626,45,88,Fork length
LL survey,Female,2022,62.48672566371681,43,91,Fork length
LL survey,Male,1997,66.11895910780669,43,81,Fork length
LL survey,Male,1998,64.93464052287581,46,92,Fork length
LL survey,Male,1999,62.25694444444444,44,95,Fork length
LL survey,Male,2000,61.46091954022989,45,80,Fork length
LL survey,Male,2001,63.60727969348659,44,80,Fork length
LL survey,Male,2002,63.02325581395349,44,83,Fork length
LL survey,Male,2003,62.31979695431472,45,80,Fork length
LL survey,Male,2004,62.42397660818713,49,78,Fork length
LL survey,Male,2005,63.85792349726776,52,81,Fork length
LL survey,Male,2006,64.13607594936708,48,90,Fork length
LL survey,Male,2007,62.869300911854104,48,84,Fork length
LL survey,Male,2008,63.885185185185186,48,80,Fork length
LL survey,Male,2009,64.86561264822134,49,80,Fork length
LL survey,Male,2010,64.19649122807017,46,77,Fork length
LL survey,Male,2011,63.48874598070739,47,78,Fork length
LL survey,Male,2012,62.81191222570533,44,78,Fork length
LL survey,Male,2013,62.964285714285715,49,80,Fork length
LL survey,Male,2014,63.76,45,84,Fork length
LL survey,Male,2015,62.81592039800995,45,80,Fork length
LL survey,Male,2016,62.24852320675105,43,82,Fork length
LL survey,Male,2017,60.944,44,83,Fork length
LL survey,Male,2018,61.48372093023256,44,79,Fork length
LL survey,Male,2019,60.0479797979798,45,84,Fork length
LL survey,Male,2020,59.77824267782427,48,81,Fork length
LL survey,Male,2021,57.625454545454545,44,79,Fork length
LL survey,Male,2022,58.689320388349515,45,87,Fork length
Pot fishery,Female,2022,66.46718146718146,55,89,Fork length
Pot fishery,Male,2022,61.91025641025641,54,80,Fork length
