year,tag_no,tag_batch_no,rel_date,rel_stat,rel_len,rel_bin,rec_date,rec_stat,rec_len,rec_bin,growth
2018,T-084666,26,2018-05-20,345701,52,50,2018-08-09,345701,54,55,2
2018,T-086107,26,2018-05-23,345701,49,50,2018-08-09,345701,50,50,1
2019,T-091860,28,2019-05-15,345731,52,50,2019-07-26,345731,53,55,1
2019,T-093385,28,2019-05-17,345701,49,50,2019-07-26,345731,51,50,2
2019,T-096286,28,2019-05-21,345701,51,50,2019-08-17,345701,51,50,0
2019,T-097125,28,2019-05-27,345631,51,50,2019-10-11,345603,53,55,2
2019,T-100411,28,2019-06-01,345603,52,50,2019-07-29,345603,52,50,0
2005,T-05-0371,16,2005-06-04,345731,55,55,2005-08-01,345731,57,55,2
2005,T-05-0704,16,2005-06-05,345731,56,55,2005-07-30,345731,68,70,12
2005,T-05-0971,16,2005-06-04,345731,57,55,2005-07-30,345731,62,60,5
2005,T-05-0983,16,2005-06-04,345731,57,55,2005-09-27,0,57,55,0
2005,T-05-1138,16,2005-06-04,345731,56,55,2005-07-30,345731,57,55,1
2005,T-05-1326,16,2005-06-06,345803,55,55,2005-10-01,345731,58,60,3
2005,T-05-1646,16,2005-06-07,345803,56,55,2005-08-18,0,58,60,2
2005,T-05-2129,16,2005-06-08,345701,53,55,2005-07-30,345631,55,55,2
2005,T-05-2280,16,2005-06-08,345701,54,55,2005-06-17,345701,54,55,0
2005,T-05-2395,16,2005-06-08,345701,53,55,2005-08-01,345701,54,55,1
2005,T-05-2530,16,2005-06-08,345701,56,55,2005-06-17,345701,58,60,2
2005,T-05-2557,16,2005-06-08,345701,55,55,2005-08-01,345701,56,55,1
2005,T-05-2595,16,2005-06-08,345701,54,55,2005-06-17,345701,54,55,0
2005,T-05-2659,16,2005-06-08,345701,55,55,2005-06-17,345701,55,55,0
2005,T-05-2697,16,2005-06-08,345701,56,55,2005-08-01,345701,56,55,0
2005,T-05-2794,16,2005-06-08,345701,54,55,2005-08-01,345701,55,55,1
2005,T-05-2846,16,2005-06-08,345701,57,55,2005-07-30,345631,58,60,1
2005,T-05-2935,16,2005-06-09,345701,56,55,2005-09-27,0,57,55,1
2005,T-05-4297,16,2005-06-13,345631,55,55,2005-09-27,0,57,55,2
2005,T-05-4575,16,2005-06-13,345631,56,55,2005-06-16,345631,56,55,0
2005,T-05-4668,16,2005-06-13,345631,53,55,2005-08-19,345631,65,65,12
2005,T-05-4690,16,2005-06-13,345631,55,55,2005-09-27,0,55,55,0
2005,T-05-4699,16,2005-06-13,345631,55,55,2005-08-02,345631,56,55,1
2005,T-05-4837,16,2005-06-13,345631,55,55,2005-09-27,0,55,55,0
2005,T-05-4885,16,2005-06-13,345631,55,55,2005-09-27,0,56,55,1
2005,T-05-4927,16,2005-06-14,345631,56,55,2005-10-27,345631,56,55,0
2005,T-05-5131,16,2005-06-14,345631,57,55,2005-09-09,0,59,60,2
2005,T-05-5275,16,2005-06-14,345631,54,55,2005-09-27,0,55,55,1
2005,T-05-5682,16,2005-06-15,345603,57,55,2005-09-09,0,63,65,6
2005,T-05-5895,16,2005-06-16,345631,56,55,2005-07-30,345631,57,55,1
2005,T-05-5906,16,2005-06-16,345631,53,55,2005-08-19,345631,54,55,1
2005,T-05-5947,16,2005-06-16,345631,57,55,2005-09-27,0,58,60,1
2005,T-05-6609,16,2005-06-17,345701,56,55,2005-08-01,345701,57,55,1
2005,T-05-6848,16,2005-06-18,345701,56,55,2005-08-01,345701,56,55,0
2006,T-019745,17,2006-06-12,345702,56,55,2006-08-28,345631,56,55,0
2006,T-022980,17,2006-06-23,345603,56,55,2006-08-06,345701,57,55,1
2007,T-023568,18,2007-06-03,345701,57,55,2007-08-07,345631,59,60,2
2007,T-024121,18,2007-06-04,345731,55,55,2007-08-07,345731,56,55,1
2007,T-025775,18,2007-06-08,345701,53,55,2007-08-07,345731,53,55,0
2007,T-025876,18,2007-06-08,345701,55,55,2007-06-16,345631,55,55,0
2007,T-025945,18,2007-06-08,345701,53,55,2007-08-09,345701,54,55,1
2007,T-025963,18,2007-06-08,345701,57,55,2007-10-20,0,58,60,1
2007,T-026412,18,2007-06-09,345701,54,55,2007-08-23,345701,54,55,0
2007,T-027747,18,2007-06-16,345631,54,55,2007-08-10,345631,55,55,1
2007,T-029370,18,2007-06-23,345603,57,55,2007-08-10,345603,57,55,0
2008,T-030818,19,2008-06-06,345731,55,55,2008-08-24,345701,56,55,1
2008,T-031411,19,2008-06-08,345701,54,55,2008-08-11,345701,56,55,2
2008,T-031522,19,2008-06-08,345701,57,55,2008-11-07,345701,58,60,1
2008,T-031786,19,2008-06-09,345701,55,55,2008-08-21,0,56,55,1
2008,T-032041,19,2008-06-09,345701,54,55,2008-08-21,0,54,55,0
2008,T-032196,19,2008-06-10,345701,54,55,2008-08-11,345701,55,55,1
2008,T-032222,19,2008-06-10,345701,56,55,2008-08-11,345701,57,55,1
2008,T-034668,19,2008-06-23,345603,56,55,2008-08-12,345603,57,55,1
2009,T-035665,20,2009-06-02,345731,53,55,2009-08-03,345731,55,55,2
2009,T-037384,20,2009-06-06,345701,53,55,2009-06-07,345701,53,55,0
2009,T-037821,20,2009-06-07,345701,57,55,2009-06-21,345701,57,55,0
2009,T-038259,20,2009-06-07,345701,55,55,2009-08-20,0,57,55,2
2009,T-041805,20,2009-06-20,345701,57,55,2009-08-20,0,59,60,2
2010,T-043218,21,2010-06-01,345701,55,55,2010-08-06,345701,56,55,1
2010,T-045620,21,2010-06-08,345701,55,55,2010-08-05,345731,55,55,0
2010,T-048198,21,2010-06-17,345631,57,55,2010-08-03,345631,58,60,1
2010,T-048392,21,2010-06-17,345631,57,55,2010-08-06,345631,58,60,1
2010,T-049135,21,2010-06-19,345631,53,55,2010-08-03,345631,55,55,2
2012,T-050792,22,2012-05-23,345803,57,55,2012-09-26,0,57,55,0
2012,T-050895,22,2012-05-23,345803,57,55,2012-07-25,345731,58,60,1
2012,T-051458,22,2012-05-25,345731,55,55,2012-07-26,345631,56,55,1
2012,T-051670,22,2012-05-26,345731,57,55,2012-09-26,0,58,60,1
2012,T-051819,22,2012-05-26,345701,55,55,2012-07-29,345701,56,55,1
2012,T-052271,22,2012-05-26,345701,57,55,2012-07-28,345731,59,60,2
2012,T-052926,22,2012-05-28,345701,57,55,2012-07-27,345701,68,70,11
2012,T-053182,22,2012-05-28,345701,55,55,2012-07-27,345701,55,55,0
2012,T-053255,22,2012-05-29,345701,56,55,2012-09-10,0,57,55,1
2012,T-053284,22,2012-05-29,345701,54,55,2012-07-27,345701,55,55,1
2012,T-053386,22,2012-05-29,345701,57,55,2012-07-27,345701,58,60,1
2012,T-053415,22,2012-05-29,345701,57,55,2012-07-27,345701,57,55,0
2012,T-053511,22,2012-05-29,345701,56,55,2012-09-10,0,57,55,1
2012,T-053701,22,2012-05-30,345701,54,55,2012-06-05,345631,55,55,1
2012,T-053785,22,2012-05-30,345701,53,55,2012-07-27,345701,54,55,1
2012,T-053902,22,2012-05-30,345701,53,55,2012-07-26,345701,53,55,0
2012,T-053908,22,2012-05-30,345701,57,55,2012-07-26,345701,58,60,1
2012,T-054760,22,2012-06-05,345631,55,55,2012-10-15,345631,55,55,0
2012,T-055152,22,2012-06-05,345631,57,55,2012-07-26,345631,58,60,1
2012,T-055201,22,2012-06-05,345631,57,55,2012-07-26,345631,57,55,0
2012,T-055369,22,2012-06-05,345631,57,55,2012-07-27,345701,58,60,1
2012,T-055830,22,2012-06-07,345631,53,55,2012-07-25,345631,54,55,1
2012,T-057806,22,2012-06-11,345631,55,55,2012-08-26,345631,56,55,1
2012,T-057920,22,2012-06-11,345631,57,55,2012-10-15,345631,57,55,0
2013,T-058698,23,2013-05-23,345803,57,55,2013-12-30,0,58,60,1
2013,T-059817,23,2013-05-25,345701,57,55,2013-08-01,345731,64,65,7
2013,T-060595,23,2013-05-27,345701,57,55,2013-05-29,345701,58,60,1
2013,T-060714,23,2013-05-27,345701,56,55,2013-06-05,345631,57,55,1
2013,T-060801,23,2013-05-27,345701,53,55,2013-06-04,345631,56,55,3
2013,T-061216,23,2013-05-28,345701,55,55,2013-08-04,345701,55,55,0
2013,T-061993,23,2013-05-30,345631,54,55,2013-08-04,345701,54,55,0
2013,T-063009,23,2013-06-06,345631,53,55,2013-06-11,345631,53,55,0
2013,T-063850,23,2013-06-03,345631,53,55,2013-08-04,345631,54,55,1
2013,T-063993,23,2013-06-04,345631,54,55,2013-08-04,345631,55,55,1
2013,T-064038,23,2013-06-04,345631,56,55,2013-08-01,345631,56,55,0
2013,T-064620,23,2013-06-07,345603,57,55,2013-08-05,0,58,60,1
2013,T-064701,23,2013-06-07,345603,53,55,2013-08-05,345603,54,55,1
2013,T-064705,23,2013-06-07,345603,57,55,2013-08-05,345603,58,60,1
2013,T-065439,23,2013-06-10,345631,56,55,2013-12-30,0,59,60,3
2013,T-065449,23,2013-06-10,345631,53,55,2013-08-01,345631,54,55,1
2013,T-065803,23,2013-06-10,345631,55,55,2013-08-01,345631,56,55,1
2015,T-067749,24,2015-05-23,345701,57,55,2015-07-28,345731,57,55,0
2015,T-067861,24,2015-05-23,345701,56,55,2015-07-28,345701,56,55,0
2015,T-067875,24,2015-05-23,345701,55,55,2015-07-28,345701,55,55,0
2015,T-068523,24,2015-05-24,345701,56,55,2015-07-28,345701,58,60,2
2015,T-069707,24,2015-05-26,345701,55,55,2015-07-29,345701,58,60,3
2015,T-070100,24,2015-06-02,345631,53,55,2015-07-29,345701,53,55,0
2015,T-070191,24,2015-06-02,345631,53,55,2015-09-11,345631,55,55,2
2015,T-072305,24,2015-06-06,345603,57,55,2015-07-28,345701,57,55,0
2017,T-073440,25,2017-05-17,345803,54,55,2017-08-01,345731,55,55,1
2017,T-074401,25,2017-05-18,345701,55,55,2017-08-04,345701,56,55,1
2017,T-074964,25,2017-05-19,345731,54,55,2017-09-20,345731,55,55,1
2017,T-076853,25,2017-05-23,345701,55,55,2017-08-02,345701,56,55,1
2017,T-076862,25,2017-05-23,345701,56,55,2017-08-04,345701,58,60,2
2017,T-076934,25,2017-05-22,345701,56,55,2017-08-03,345701,56,55,0
2017,T-078226,25,2017-05-31,345603,55,55,2017-08-01,345631,56,55,1
2017,T-078410,25,2017-05-31,345603,56,55,2017-08-03,345701,57,55,1
2017,T-078445,25,2017-05-31,345631,54,55,2017-07-31,345631,65,65,11
2017,T-078649,25,2017-05-31,345631,56,55,2017-07-31,345631,57,55,1
2017,T-079341,25,2017-06-01,345631,54,55,2017-07-31,345631,55,55,1
2017,T-079418,25,2017-06-02,345631,56,55,2017-08-01,345631,57,55,1
2018,T-081303,26,2018-05-16,345731,55,55,2018-08-10,345731,57,55,2
2018,T-081609,26,2018-05-16,345731,53,55,2018-08-07,345731,55,55,2
2018,T-083083,26,2018-05-18,345701,56,55,2018-08-10,345701,58,60,2
2018,T-083697,26,2018-05-18,345701,56,55,2018-08-09,345701,57,55,1
2018,T-084030,26,2018-05-19,345701,54,55,2018-10-31,345701,55,55,1
2018,T-084040,26,2018-05-19,345701,57,55,2018-10-23,0,58,60,1
2018,T-084620,26,2018-05-20,345701,56,55,2018-08-09,345701,58,60,2
2018,T-084932,26,2018-05-20,345701,56,55,2018-05-24,345701,56,55,0
2018,T-084994,26,2018-05-21,345701,53,55,2018-10-31,345701,53,55,0
2018,T-085044,26,2018-05-21,345701,56,55,2018-08-09,345701,57,55,1
2018,T-085568,26,2018-05-22,345701,57,55,2018-10-10,345701,57,55,0
2018,T-085908,26,2018-05-23,345701,54,55,2018-08-07,345701,55,55,1
2018,T-086039,26,2018-05-23,345701,54,55,2018-08-07,345701,55,55,1
2018,T-086175,26,2018-05-23,345701,54,55,2018-06-05,345631,64,65,10
2018,T-086414,26,2018-05-28,345631,53,55,2018-10-18,345701,54,55,1
2018,T-086936,26,2018-05-28,345631,54,55,2018-08-10,345731,72,70,18
2018,T-087532,26,2018-05-30,345631,54,55,2018-06-03,345631,54,55,0
2018,T-087681,26,2018-05-30,345631,55,55,2018-09-23,415830,56,55,1
2018,T-087809,26,2018-05-30,345631,56,55,2018-06-04,345631,58,60,2
2018,T-089675,26,2018-06-04,345631,57,55,2018-08-07,345701,58,60,1
2019,T-092316,28,2019-05-16,345731,57,55,2019-07-28,345731,59,60,2
2019,T-093856,28,2019-05-18,345701,54,55,2019-07-28,345701,55,55,1
2019,T-094538,28,2019-05-19,345701,56,55,2019-07-28,345701,57,55,1
2019,T-094905,28,2019-05-19,345701,54,55,2019-07-26,345701,55,55,1
2019,T-095155,28,2019-05-20,345701,54,55,2019-07-28,345701,54,55,0
2019,T-095737,28,2019-05-20,345701,54,55,2019-07-26,345631,60,60,6
2019,T-095960,28,2019-05-21,345701,56,55,2019-07-28,345701,57,55,1
2019,T-096515,28,2019-05-22,345701,54,55,2019-07-26,345631,56,55,2
2019,T-097062,28,2019-05-27,345631,56,55,2019-07-28,345701,56,55,0
2019,T-098153,28,2019-05-28,345631,56,55,2019-07-26,345701,57,55,1
2019,T-098784,28,2019-05-30,345631,55,55,2019-07-26,345631,58,60,3
2019,T-100144,28,2019-05-31,345603,56,55,2019-07-29,345603,56,55,0
2019,T-100292,28,2019-06-01,345603,57,55,2019-07-29,345603,58,60,1
2005,T-05-0048,16,2005-06-03,345701,62,60,2005-08-02,345701,66,65,4
2005,T-05-0309,16,2005-06-04,345731,59,60,2005-08-01,345731,62,60,3
2005,T-05-0594,16,2005-06-05,345731,60,60,2005-10-11,345701,62,60,2
2005,T-05-0610,16,2005-06-05,345731,58,60,2005-07-30,345731,60,60,2
2005,T-05-1061,16,2005-06-04,345731,60,60,2005-07-30,345731,60,60,0
2005,T-05-1264,16,2005-06-06,345803,62,60,2005-10-01,345731,62,60,0
2005,T-05-1388,16,2005-06-06,345803,61,60,2005-08-18,0,62,60,1
2005,T-05-1471,16,2005-06-06,345803,62,60,2005-10-01,345731,65,65,3
2005,T-05-1607,16,2005-06-07,345803,61,60,2005-10-01,345731,63,65,2
2005,T-05-1766,16,2005-06-08,345731,59,60,2005-08-18,0,62,60,3
2005,T-05-1877,16,2005-06-08,345731,61,60,2005-10-15,345701,62,60,1
2005,T-05-2260,16,2005-06-08,345701,62,60,2005-08-02,345701,64,65,2
2005,T-05-2363,16,2005-06-08,345701,61,60,2005-12-27,0,62,60,1
2005,T-05-2801,16,2005-06-08,345701,60,60,2005-06-17,345701,65,65,5
2005,T-05-3274,16,2005-06-09,345701,58,60,2005-06-17,345701,58,60,0
2005,T-05-3412,16,2005-06-09,345701,61,60,2005-08-02,345701,61,60,0
2005,T-05-3951,16,2005-06-13,345631,61,60,2005-09-27,0,62,60,1
2005,T-05-4563,16,2005-06-13,345631,59,60,2005-07-30,345631,61,60,2
2005,T-05-5442,16,2005-06-15,345603,62,60,2005-07-30,345631,63,65,1
2005,T-05-6375,16,2005-06-16,345631,62,60,2005-07-30,345701,62,60,0
2005,T-05-6540,16,2005-06-17,345701,58,60,2005-08-01,345701,58,60,0
2005,T-05-6963,16,2005-06-18,345701,62,60,2005-08-01,345701,63,65,1
2006,T-018361,17,2006-06-02,345731,61,60,2006-10-31,345603,62,60,1
2006,T-018670,17,2006-06-03,345701,62,60,2006-08-06,345701,62,60,0
2006,T-018740,17,2006-06-03,345731,58,60,2006-09-01,345701,59,60,1
2006,T-019400,17,2006-06-05,345731,62,60,2006-08-06,345631,63,65,1
2006,T-019830,17,2006-06-13,345701,62,60,2006-08-04,345701,62,60,0
2006,T-019889,17,2006-06-12,345631,58,60,2006-06-16,345701,59,60,1
2006,T-020063,17,2006-06-13,345701,58,60,2006-08-25,345701,59,60,1
2006,T-020183,17,2006-06-14,345701,62,60,2006-08-30,0,62,60,0
2006,T-020322,17,2006-06-14,345701,61,60,2006-08-06,345701,61,60,0
2006,T-020529,17,2006-06-15,345701,60,60,2006-08-06,345701,60,60,0
2006,T-020590,17,2006-06-15,345701,58,60,2006-08-06,345701,59,60,1
2006,T-020614,17,2006-06-15,345701,58,60,2006-08-17,345701,59,60,1
2006,T-020729,17,2006-06-16,345701,60,60,2006-10-16,0,63,65,3
2006,T-020951,17,2006-06-16,345701,61,60,2006-10-16,0,62,60,1
2006,T-020970,17,2006-06-16,345701,61,60,2006-08-17,345701,61,60,0
2006,T-022138,17,2006-06-20,345631,58,60,2006-11-10,0,59,60,1
2006,T-023120,17,2006-06-24,345603,58,60,2006-08-28,345631,58,60,0
2007,T-023405,18,2007-06-03,345701,59,60,2007-09-09,0,60,60,1
2007,T-024386,18,2007-06-04,345731,60,60,2007-08-07,345701,61,60,1
2007,T-026524,18,2007-06-09,345701,60,60,2007-10-11,345631,60,60,0
2007,T-027328,18,2007-06-15,345701,62,60,2007-09-29,0,62,60,0
2008,T-029551,19,2008-06-01,345701,59,60,2008-08-11,345731,60,60,1
2008,T-029595,19,2008-06-01,345701,59,60,2008-06-06,345731,60,60,1
2008,T-029595,19,2008-06-01,345701,59,60,2008-08-11,345701,61,60,2
2008,T-029679,19,2008-06-01,345701,62,60,2008-08-11,345731,63,65,1
2008,T-029683,19,2008-06-01,345701,59,60,2008-08-24,345701,59,60,0
2008,T-029758,19,2008-06-01,345701,62,60,2008-08-11,345731,63,65,1
2008,T-030269,19,2008-06-04,345803,61,60,2008-08-11,345701,61,60,0
2008,T-030703,19,2008-06-06,345731,61,60,2008-08-11,345701,62,60,1
2008,T-031154,19,2008-06-08,345701,61,60,2008-10-01,345701,62,60,1
2008,T-031359,19,2008-06-08,345701,58,60,2008-08-24,345701,58,60,0
2008,T-031547,19,2008-06-08,345701,61,60,2008-08-11,345701,62,60,1
2008,T-031807,19,2008-06-09,345701,59,60,2008-08-21,0,60,60,1
2008,T-031956,19,2008-06-09,345701,60,60,2008-08-10,0,61,60,1
2008,T-031990,19,2008-06-09,345701,60,60,2008-08-09,345631,61,60,1
2008,T-033177,19,2008-06-16,345631,62,60,2008-08-09,345631,63,65,1
2008,T-033391,19,2008-06-17,345631,61,60,2008-08-21,0,61,60,0
2008,T-033493,19,2008-06-17,345631,59,60,2008-09-09,345631,61,60,2
2008,T-033899,19,2008-06-19,345631,60,60,2008-08-12,345631,61,60,1
2008,T-033962,19,2008-06-20,345631,59,60,2008-08-12,345631,60,60,1
2008,T-034038,19,2008-06-20,345631,62,60,2008-08-12,345631,63,65,1
2008,T-034382,19,2008-06-22,345603,62,60,2008-10-30,345631,62,60,0
2009,T-035210,20,2009-06-02,345701,58,60,2009-08-03,345731,58,60,0
2009,T-035819,20,2009-06-02,345731,62,60,2009-10-26,345631,62,60,0
2009,T-037810,20,2009-06-07,345701,60,60,2009-08-20,0,60,60,0
2009,T-037862,20,2009-06-07,345701,59,60,2009-06-21,345701,60,60,1
2009,T-038024,20,2009-06-07,345701,59,60,2009-06-21,345701,60,60,1
2009,T-038095,20,2009-06-07,345701,60,60,2009-08-20,0,61,60,1
2009,T-038342,20,2009-06-08,345631,61,60,2009-08-20,0,61,60,0
2009,T-041273,20,2009-06-19,345603,62,60,2009-08-16,345701,63,65,1
2010,T-043309,21,2010-06-01,345701,61,60,2010-09-29,0,63,65,2
2010,T-043348,21,2010-06-01,345701,60,60,2010-08-05,345731,61,60,1
2010,T-044066,21,2010-06-03,345731,60,60,2010-08-03,345731,60,60,0
2010,T-044238,21,2010-06-03,345731,62,60,2010-08-03,345731,63,65,1
2010,T-045039,21,2010-06-05,345701,60,60,2010-08-05,345701,61,60,1
2010,T-045825,21,2010-06-08,345701,59,60,2010-08-03,345701,59,60,0
2010,T-045990,21,2010-06-09,345701,60,60,2010-08-06,345631,60,60,0
2010,T-046310,21,2010-06-09,345701,62,60,2010-08-06,345631,83,85,21
2010,T-046814,21,2010-06-09,345631,60,60,2010-08-06,345631,61,60,1
2010,T-046867,21,2010-06-09,345631,62,60,2010-08-06,0,62,60,0
2010,T-047153,21,2010-06-09,345631,60,60,2010-08-06,345631,63,65,3
2010,T-048698,21,2010-06-18,345631,60,60,2010-08-03,345631,62,60,2
2010,T-048730,21,2010-06-18,345631,60,60,2010-08-03,345631,62,60,2
2010,T-049054,21,2010-06-18,345631,60,60,2010-08-03,345631,61,60,1
2010,T-049200,21,2010-06-19,345631,59,60,2010-08-06,345603,60,60,1
2010,T-049338,21,2010-06-19,345631,59,60,2010-08-06,345631,59,60,0
2012,T-051101,22,2012-05-24,345731,58,60,2012-07-25,345731,58,60,0
2012,T-051395,22,2012-05-25,345731,62,60,2012-07-25,345631,63,65,1
2012,T-051629,22,2012-05-26,345731,60,60,2012-07-28,345731,60,60,0
2012,T-052220,22,2012-05-26,345701,62,60,2012-07-29,345701,63,65,1
2012,T-053018,22,2012-05-28,345701,60,60,2012-07-27,345701,61,60,1
2012,T-053604,22,2012-05-29,345701,59,60,2012-10-28,0,59,60,0
2012,T-053938,22,2012-05-30,345701,61,60,2012-07-27,345701,62,60,1
2012,T-053938,22,2012-05-30,345701,61,60,2012-06-05,345631,61,60,0
2012,T-054146,22,2012-05-31,345702,62,60,2012-06-05,345631,62,60,0
2012,T-054569,22,2012-06-05,345631,60,60,2012-06-11,345631,60,60,0
2012,T-054727,22,2012-06-05,345631,60,60,2012-07-27,345701,61,60,1
2012,T-055038,22,2012-06-05,345631,60,60,2012-06-11,345631,60,60,0
2012,T-055101,22,2012-06-05,345631,60,60,2012-10-18,345631,60,60,0
2012,T-055124,22,2012-06-05,345631,59,60,2012-07-26,345631,59,60,0
2012,T-055258,22,2012-06-05,345631,60,60,2012-10-15,345631,60,60,0
2012,T-057915,22,2012-06-11,345631,58,60,2012-07-26,345631,58,60,0
2012,T-057985,22,2012-06-11,345631,59,60,2012-07-25,345631,59,60,0
2013,T-058224,23,2013-05-21,345803,60,60,2013-12-06,0,66,65,6
2013,T-058288,23,2013-05-21,345803,62,60,2013-12-18,0,63,65,1
2013,T-058301,23,2013-05-21,345803,58,60,2013-12-19,0,58,60,0
2013,T-058302,23,2013-05-21,345803,62,60,2013-08-01,345731,64,65,2
2013,T-058351,23,2013-05-21,345803,60,60,2013-12-06,0,60,60,0
2013,T-058695,23,2013-05-23,345803,60,60,2013-08-01,345731,60,60,0
2013,T-058745,23,2013-05-23,345803,62,60,2013-08-01,345731,63,65,1
2013,T-058938,23,2013-05-23,345731,61,60,2013-08-01,345731,62,60,1
2013,T-059063,23,2013-05-23,345731,61,60,2013-08-01,345731,61,60,0
2013,T-059261,23,2013-05-24,345731,62,60,2013-11-29,0,63,65,1
2013,T-059355,23,2013-05-24,345731,58,60,2013-08-01,345731,59,60,1
2013,T-059531,23,2013-05-24,345731,62,60,2013-08-01,345731,63,65,1
2013,T-059865,23,2013-05-25,345701,61,60,2013-12-06,0,62,60,1
2013,T-059909,23,2013-05-25,345701,58,60,2013-07-30,345701,59,60,1
2013,T-060046,23,2013-05-25,345701,61,60,2013-08-03,345701,63,65,2
2013,T-060105,23,2013-05-25,345701,59,60,2013-12-06,0,60,60,1
2013,T-060126,23,2013-05-25,345701,61,60,2013-08-01,345731,61,60,0
2013,T-060287,23,2013-05-25,345701,59,60,2013-08-03,345701,59,60,0
2013,T-060384,23,2013-05-26,345701,62,60,2013-12-27,0,62,60,0
2013,T-060444,23,2013-05-26,345701,58,60,2013-08-04,345631,68,70,10
2013,T-060523,23,2013-05-27,345701,58,60,2013-09-05,345701,67,65,9
2013,T-060549,23,2013-05-27,345701,58,60,2013-07-30,345701,60,60,2
2013,T-060572,23,2013-05-27,345701,60,60,2013-12-13,0,61,60,1
2013,T-060780,23,2013-05-27,345701,58,60,2013-12-06,0,60,60,2
2013,T-060871,23,2013-05-27,345701,60,60,2013-08-04,345701,60,60,0
2013,T-061277,23,2013-05-28,345701,60,60,2013-10-25,0,61,60,1
2013,T-061358,23,2013-05-28,345701,62,60,2013-06-04,345631,62,60,0
2013,T-061894,23,2013-05-28,345701,58,60,2013-08-04,345701,58,60,0
2013,T-061942,23,2013-05-30,345631,60,60,2013-08-04,345631,60,60,0
2013,T-062056,23,2013-05-30,345631,60,60,2013-06-04,345631,60,60,0
2013,T-062859,23,2013-06-05,345631,62,60,2013-06-12,345631,63,65,1
