Source,Sex,year,age,n,proportion,N_year,N,weight,proportion_scaled,Age
LL fishery,Female,1988,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1988,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1988,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1989,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1989,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1989,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1989,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1989,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1989,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1989,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1989,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1989,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1989,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1989,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1989,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1989,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1989,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1989,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1989,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1989,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1989,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1989,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1989,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1989,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1989,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1989,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1989,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1989,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1989,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1989,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1989,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1989,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1989,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1989,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1989,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1989,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1989,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1989,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1989,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1989,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1989,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1989,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1989,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1989,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1990,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1990,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1990,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1990,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1990,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1990,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1990,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1990,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1990,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1990,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1990,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1990,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1990,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1990,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1990,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1990,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1990,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1990,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1990,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1990,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1990,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1990,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1990,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1990,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1990,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1990,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1990,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1990,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1990,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1990,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1990,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1990,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1990,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1990,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1990,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1990,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1990,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1990,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1990,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1990,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1990,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1991,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1991,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1991,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1991,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1991,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1991,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1991,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1991,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1991,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1991,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1991,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1991,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1991,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1991,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1991,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1991,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1991,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1991,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1991,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1991,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1991,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1991,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1991,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1991,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1991,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1991,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1991,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1991,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1991,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1991,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1991,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1991,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1991,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1991,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1991,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1991,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1991,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1991,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1991,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1991,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1991,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1992,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1992,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1992,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1992,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1992,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1992,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1992,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1992,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1992,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1992,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1992,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1992,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1992,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1992,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1992,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1992,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1992,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1992,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1992,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1992,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1992,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1992,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1992,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1992,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1992,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1992,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1992,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1992,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1992,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1992,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1992,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1992,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1992,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1992,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1992,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1992,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1992,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1992,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1992,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1992,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1992,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1993,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1993,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1993,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1993,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1993,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1993,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1993,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1993,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1993,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1993,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1993,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1993,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1993,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1993,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1993,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1993,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1993,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1993,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1993,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1993,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1993,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1993,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1993,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1993,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1993,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1993,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1993,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1993,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1993,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1993,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1993,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1993,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1993,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1993,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1993,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1993,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1993,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1993,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1993,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1993,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1993,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1994,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1994,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1994,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1994,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1994,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1994,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1994,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1994,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1994,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1994,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1994,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1994,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1994,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1994,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1994,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1994,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1994,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1994,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1994,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1994,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1994,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1994,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1994,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1994,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1994,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1994,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1994,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1994,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1994,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1994,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1994,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1994,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1994,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1994,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1994,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1994,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1994,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1994,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1994,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1994,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1994,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1995,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1995,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1995,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1995,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1995,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1995,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1995,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1995,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1995,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1995,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1995,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1995,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1995,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1995,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1995,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1995,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1995,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1995,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1995,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1995,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1995,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1995,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1995,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1995,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1995,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1995,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1995,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1995,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1995,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1995,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1995,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1995,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1995,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1995,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1995,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1995,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1995,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1995,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1995,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1995,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1995,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1996,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1996,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1996,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1996,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1996,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1996,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1996,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1996,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1996,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1996,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1996,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1996,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1996,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1996,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1996,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1996,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1996,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1996,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1996,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1996,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1996,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1996,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1996,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1996,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1996,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1996,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1996,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1996,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1996,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1996,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1996,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1996,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1996,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1996,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1996,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1996,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1996,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1996,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1996,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1996,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1996,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1997,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1997,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1997,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1997,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1997,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1997,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1997,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1997,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1997,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1997,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1997,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1997,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1997,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1997,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1997,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1997,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1997,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1997,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1997,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1997,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1997,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1997,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1997,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1997,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1997,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1997,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1997,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1997,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1997,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1997,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1997,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1997,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1997,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1997,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1997,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1997,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1997,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1997,39,0,0,NA,NA,NA,NA,39
LL fishery,Female,1997,40,0,0,NA,NA,NA,NA,40
LL fishery,Female,1997,41,0,0,NA,NA,NA,NA,41
LL fishery,Female,1997,42,0,0,NA,NA,NA,NA,42
LL fishery,Female,1998,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1998,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1998,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1998,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1998,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1998,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1998,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1998,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1998,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1998,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1998,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1998,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1998,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1998,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1998,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1998,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1998,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1998,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1998,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1998,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1998,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1998,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1998,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1998,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1998,26,0,0,NA,NA,NA,NA,26
