Source,Sex,age,weight
LL fishery,Combined,17,4.4638
LL survey,Female,18,4.6736
LL fishery,Female,18,5.2845
LL survey,Male,18,3.1698
LL fishery,Male,18,3.381
LL survey,Combined,18,3.9835
LL fishery,Combined,18,4.5507
LL survey,Female,19,5.337
LL fishery,Female,19,5.3621
LL survey,Male,19,3.1566
LL fishery,Male,19,3.4088
LL survey,Combined,19,4.2222
LL fishery,Combined,19,4.6414
LL survey,Female,20,5.1649
LL fishery,Female,20,5.5137
LL survey,Male,20,3.2795
LL fishery,Male,20,3.4318
LL survey,Combined,20,4.1974
LL fishery,Combined,20,4.6618
LL survey,Female,21,5.496
LL fishery,Female,21,5.7507
LL survey,Male,21,3.2518
LL fishery,Male,21,3.4645
LL survey,Combined,21,4.3148
LL fishery,Combined,21,4.8003
LL survey,Female,22,5.2805
LL fishery,Female,22,5.7182
LL survey,Male,22,3.3483
LL fishery,Male,22,3.5952
LL survey,Combined,22,4.1683
LL fishery,Combined,22,4.794
LL survey,Female,23,5.6556
LL fishery,Female,23,6.0744
LL survey,Male,23,3.4779
LL fishery,Male,23,3.5745
LL survey,Combined,23,4.2908
LL fishery,Combined,23,5.0086
LL survey,Female,24,5.7728
LL fishery,Female,24,6.0373
LL survey,Male,24,3.3766
LL fishery,Male,24,3.4882
LL survey,Combined,24,4.4708
LL fishery,Combined,24,4.7732
LL survey,Female,25,5.8141
LL fishery,Female,25,6.1249
LL survey,Male,25,3.488
LL fishery,Male,25,3.6839
LL survey,Combined,25,4.5012
LL fishery,Combined,25,5.0735
LL survey,Female,26,6.3467
LL fishery,Female,26,6.0816
LL survey,Male,26,3.3955
LL fishery,Male,26,3.6992
LL survey,Combined,26,4.7534
LL fishery,Combined,26,4.8965
LL survey,Female,27,5.9724
LL fishery,Female,27,6.3443
LL survey,Male,27,3.4493
LL fishery,Male,27,3.6812
LL survey,Combined,27,4.6016
LL fishery,Combined,27,4.9753
LL survey,Female,28,6.4557
LL fishery,Female,28,6.3737
LL survey,Male,28,3.3521
LL fishery,Male,28,3.7295
LL survey,Combined,28,4.7649
LL fishery,Combined,28,5.1324
LL survey,Female,29,6.0872
LL fishery,Female,29,6.4134
LL survey,Male,29,3.5127
LL fishery,Male,29,3.6452
LL survey,Combined,29,4.4971
LL fishery,Combined,29,5.0546
LL survey,Female,30,6.2071
LL fishery,Female,30,6.4706
LL survey,Male,30,3.7025
LL fishery,Male,30,3.6958
LL survey,Combined,30,4.5648
LL fishery,Combined,30,5.0054
LL survey,Female,31,6.9217
LL fishery,Female,31,6.1707
LL survey,Male,31,3.4444
LL fishery,Male,31,3.6587
LL survey,Combined,31,5.044
LL fishery,Combined,31,4.8627
LL survey,Female,32,6.7327
LL fishery,Female,32,6.6309
LL survey,Male,32,3.636
LL fishery,Male,32,3.7594
LL survey,Combined,32,5.2147
LL fishery,Combined,32,5.1387
LL survey,Female,33,6.2129
LL fishery,Female,33,6.7024
LL survey,Male,33,3.7212
LL fishery,Male,33,3.7809
LL survey,Combined,33,4.6518
LL fishery,Combined,33,5.3532
LL survey,Female,34,6.01
LL fishery,Female,34,6.572
LL survey,Male,34,3.505
LL fishery,Male,34,3.7437
LL survey,Combined,34,4.34
LL fishery,Combined,34,5.2283
LL survey,Female,35,6.2053
LL fishery,Female,35,6.6479
LL survey,Male,35,3.8794
LL fishery,Male,35,3.8633
LL survey,Combined,35,5.1069
LL fishery,Combined,35,5.2434
LL survey,Female,36,6.2773
LL fishery,Female,36,6.5383
LL survey,Male,36,3.5605
LL fishery,Male,36,3.8437
LL survey,Combined,36,4.5567
LL fishery,Combined,36,5.1319
LL survey,Female,37,8.2667
LL fishery,Female,37,6.888
LL survey,Male,37,3.6111
LL fishery,Male,37,3.7329
LL survey,Combined,37,5.6479
LL fishery,Combined,37,5.2695
LL survey,Female,38,7.9333
LL fishery,Female,38,6.9864
LL survey,Male,38,3.5156
LL fishery,Male,38,3.9985
LL survey,Combined,38,4.7778
LL fishery,Combined,38,5.3689
LL survey,Female,39,6.0824
LL fishery,Female,39,6.8887
LL survey,Male,39,3.7361
LL fishery,Male,39,4.0911
LL survey,Combined,39,4.4887
LL fishery,Combined,39,5.561
LL survey,Female,40,6.825
LL fishery,Female,40,7.5976
LL survey,Male,40,3.7889
LL fishery,Male,40,3.843
LL survey,Combined,40,4.7231
LL fishery,Combined,40,5.3103
LL survey,Female,41,7.6778
LL fishery,Female,41,7.6608
LL survey,Male,41,3.7313
LL fishery,Male,41,3.9038
LL survey,Combined,41,5.152
LL fishery,Combined,41,5.1904
LL survey,Female,42,8.1125
LL fishery,Female,42,7.0255
LL survey,Male,42,3.8917
LL fishery,Male,42,4.1332
LL survey,Combined,42,4.9469
LL fishery,Combined,42,5.6245
