Source,Sex,age,weight,Age
Survey (sexes combined),Combined,24,4.1795,24
Survey (sexes combined),Combined,25,4.2031,25
Survey (sexes combined),Combined,26,4.2234,26
Survey (sexes combined),Combined,27,4.2411,27
Survey (sexes combined),Combined,28,4.2563,28
Survey (sexes combined),Combined,29,4.2695,29
Survey (sexes combined),Combined,30,4.2809,30
Survey (sexes combined),Combined,31,4.2908,31
Survey (sexes combined),Combined,32,4.2993,32
Survey (sexes combined),Combined,33,4.3066,33
Survey (sexes combined),Combined,34,4.313,34
Survey (sexes combined),Combined,35,4.3185,35
Survey (sexes combined),Combined,36,4.3232,36
Survey (sexes combined),Combined,37,4.3273,37
Survey (sexes combined),Combined,38,4.3308,38
Survey (sexes combined),Combined,39,4.3339,39
Survey (sexes combined),Combined,40,4.3365,40
Survey (sexes combined),Combined,41,4.3388,41
Survey (sexes combined),Combined,42,4.3407,42+
