year,ABC,retro
2006,1.0442043471488356,retro_4
2007,1.0335649162298717,retro_4
2008,1.0285245438471864,retro_4
2009,1.0108154076407134,retro_4
2010,1.00363723579599,retro_4
2011,0.9969323019007692,retro_4
2012,1.0017720803646821,retro_4
2013,0.9998699339882051,retro_4
2014,0.9923454542967141,retro_4
2015,0.9843578309511187,retro_4
2016,0.9735634458232447,retro_4
2017,0.9775151811330076,retro_4
2018,0.9987298355328115,retro_4
2019,1.041084909042143,retro_4
2020,1.1211786526857517,retro_4
2021,1.2360540928020707,retro_4
1975,2.522817564570949,retro_5
1976,2.4635498269737726,retro_5
1977,2.406986096198179,retro_5
1978,2.3787262906139772,retro_5
1979,2.348040851256903,retro_5
1980,2.4187483592621,retro_5
1981,2.7190740319004525,retro_5
1982,3.1540889552427447,retro_5
1983,3.5490268695982974,retro_5
1984,3.865950250865479,retro_5
1985,4.1562936031658095,retro_5
1986,4.251724478648854,retro_5
1987,4.242562780486575,retro_5
1988,4.087985670634994,retro_5
1989,3.839240714259789,retro_5
1990,3.640138338597139,retro_5
1991,3.437105060124271,retro_5
1992,3.1820271517728482,retro_5
1993,2.87313623878817,retro_5
1994,2.5171022680342277,retro_5
1995,2.2029450397749444,retro_5
1996,1.9135796720870666,retro_5
1997,1.650478147028021,retro_5
1998,1.3998517036617533,retro_5
1999,1.183468673638566,retro_5
2000,1.0722557473563685,retro_5
2001,1.0001159478573265,retro_5
2002,0.9932678106731838,retro_5
2003,1.01153841801731,retro_5
2004,1.0356893503861564,retro_5
2005,1.0445148945750626,retro_5
2006,1.0460216440127346,retro_5
2007,1.0353645870373798,retro_5
2008,1.0304912556701125,retro_5
2009,1.0131500027061011,retro_5
2010,1.0068028083524043,retro_5
2011,1.0016088762726347,retro_5
2012,1.008675197789472,retro_5
2013,1.0097307251448828,retro_5
2014,1.0055647914384034,retro_5
2015,1.001077300738108,retro_5
2016,0.9939353670879316,retro_5
2017,1.001619844721041,retro_5
2018,1.0256414533678917,retro_5
2019,1.0637217161259878,retro_5
2020,1.1158144567130308,retro_5
1975,2.5091808241976885,retro_6
1976,2.4502158431228676,retro_6
1977,2.393823113705162,retro_6
1978,2.3654670758726755,retro_6
1979,2.3344112646207864,retro_6
1980,2.404850024322452,retro_6
1981,2.705244027334311,retro_6
1982,3.1403940851839023,retro_6
1983,3.535173197668425,retro_6
1984,3.8518068041672664,retro_6
1985,4.142024857153049,retro_6
1986,4.23728808422629,retro_6
1987,4.228098879959276,retro_6
1988,4.0732760340022995,retro_6
1989,3.8242714464024656,retro_6
1990,3.6251155297296602,retro_6
1991,3.422048547105549,retro_6
1992,3.166870133266338,retro_6
1993,2.8577697071485693,retro_6
1994,2.5016031976293576,retro_6
1995,2.1873625657939866,retro_6
1996,1.897992736987113,retro_6
1997,1.6350000570440348,retro_6
1998,1.3846483568475494,retro_6
1999,1.1686113247860919,retro_6
2000,1.0575713336399377,retro_6
2001,0.9854800495017559,retro_6
2002,0.9784552111913809,retro_6
2003,0.9963410258047658,retro_6
2004,1.0200133913061467,retro_6
2005,1.0283335704047911,retro_6
2006,1.0292910380691394,retro_6
2007,1.018133995126977,retro_6
2008,1.0129146431668101,retro_6
2009,0.9953781859163138,retro_6
2010,0.9890731873026393,retro_6
2011,0.9841594739679145,retro_6
2012,0.9917558607755692,retro_6
2013,0.9934538708667299,retro_6
2014,0.9898925737505957,retro_6
2015,0.9859959633222987,retro_6
2016,0.9795815841795776,retro_6
2017,0.9898922237970145,retro_6
2018,1.0216724089167333,retro_6
2019,1.0703072974447378,retro_6
1975,2.497694160969023,retro_7
1976,2.439423208055193,retro_7
1977,2.383564998348882,retro_7
1978,2.3554104902294837,retro_7
1979,2.324259632033212,retro_7
1980,2.3946082131421824,retro_7
1981,2.6950536882810514,retro_7
1982,3.1302509372806964,retro_7
1983,3.524918155124404,retro_7
1984,3.8415218356046634,retro_7
1985,4.132010181466058,retro_7
1986,4.227621010537697,retro_7
1987,4.218868638737136,retro_7
1988,4.064163831158387,retro_7
1989,3.815124099300764,retro_7
1990,3.615921327720867,retro_7
1991,3.412647098761192,retro_7
1992,3.157105435423847,retro_7
1993,2.8475420968468517,retro_7
1994,2.4911431876961654,retro_7
1995,2.176720496434909,retro_7
1996,1.8872502198525607,retro_7
1997,1.6242557581417125,retro_7
1998,1.3739909458736916,retro_7
1999,1.1580407601686118,retro_7
2000,1.0469952712673747,retro_7
2001,0.9747352326446403,retro_7
2002,0.9673751911302685,retro_7
2003,0.9847292900915837,retro_7
2004,1.007747626670755,retro_7
2005,1.0152761648136641,retro_7
2006,1.0153454712236902,retro_7
2007,1.0033664751989293,retro_7
2008,0.9973781465797638,retro_7
2009,0.9792090071683763,retro_7
2010,0.9724400604883989,retro_7
2011,0.9671462066724099,retro_7
2012,0.9746197605977203,retro_7
2013,0.9763278410112389,retro_7
2014,0.9728442269396954,retro_7
2015,0.9687920696621537,retro_7
2016,0.961692825125107,retro_7
2017,0.9726983656799624,retro_7
2018,1.0080074972600561,retro_7
1975,2.5055835073555888,retro_8
1976,2.4468386675326665,retro_8
1977,2.390623581532873,retro_8
1978,2.3623066514661164,retro_8
1979,2.331240996020641,retro_8
1980,2.401711784167993,retro_8
1981,2.702115403619156,retro_8
1982,3.1372175559028697,retro_8
1983,3.5318418930999975,retro_8
1984,3.8482178131083957,retro_8
1985,4.138057021457902,retro_8
1986,4.232903157641518,retro_8
1987,4.223379187434317,retro_8
1988,4.068125492236966,retro_8
1989,3.818709561239649,retro_8
1990,3.6191492864816106,retro_8
1991,3.4156048306371356,retro_8
1992,3.1600013110269085,retro_8
1993,2.850528652757093,retro_8
1994,2.4942589332052716,retro_8
1995,2.1799553314791704,retro_8
1996,1.8906424919034506,retro_8
1997,1.627789932794048,retro_8
1998,1.377598232917807,retro_8
1999,1.1616458758484725,retro_8
2000,1.0508679045774711,retro_8
2001,0.9789349207607773,retro_8
2002,0.9721202378866544,retro_8
2003,0.9900020721283275,retro_8
2004,1.013317138727364,retro_8
2005,1.0208151706417024,retro_8
2006,1.0207374190546035,retro_8
2007,1.0085189176892744,retro_8
2008,1.0025191765071462,retro_8
2009,0.9845169304949722,retro_8
2010,0.9784531206134002,retro_8
2011,0.9750325310044534,retro_8
2012,0.9861519417517122,retro_8
2013,0.9929602704412768,retro_8
2014,0.9949887046823872,retro_8
2015,0.9963058706762926,retro_8
2016,0.994329566450205,retro_8
2017,1.006684435266025,retro_8
1975,2.500608754589509,retro_9
1976,2.4414948951533533,retro_9
1977,2.3845551815366193,retro_9
1978,2.3546695802015916,retro_9
1979,2.321264356376652,retro_9
1980,2.391321901646377,retro_9
1981,2.6950145442904883,retro_9
1982,3.1349256350672086,retro_9
1983,3.5323649863055633,retro_9
1984,3.8494717986360802,retro_9
1985,4.139643301872997,retro_9
1986,4.2328360803785285,retro_9
1987,4.222103802976558,retro_9
1988,4.063683648528832,retro_9
1989,3.8108489840750024,retro_9
1990,3.6098762858979856,retro_9
1991,3.405454458219172,retro_9
