Source,Sex,age,kg,grade,price,p
LL survey,Male,14,3,Grade 4/5,$4.75,0.8433534797840327
LL survey,Male,15,3.1,Grade 4/5,$4.75,0.8753024173027585
LL survey,Male,16,3.2,Grade 4/5,$4.75,0.9048859214166227
LL survey,Male,17,3.2,Grade 4/5,$4.75,0.9048859214166227
LL survey,Male,18,3.3,Grade 4/5,$4.75,0.9321257119344522
LL survey,Male,19,3.3,Grade 4/5,$4.75,0.9321257119344522
LL survey,Male,20,3.3,Grade 4/5,$4.75,0.9321257119344522
LL survey,Male,21,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,22,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,23,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,24,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,25,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Male,26,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Male,27,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Male,28,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Male,29,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Male,30,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Male,31,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Combined,2,1.3,Grade 1/2,$1.00,0.06964334798644828
LL survey,Combined,3,1.6,Grade 2/3,$2.20,0.1807816188284768
LL survey,Combined,4,1.8,Grade 2/3,$2.20,0.2809628920146049
LL survey,Combined,5,2.1,Grade 2/3,$2.20,0.4459942466660569
LL survey,Combined,6,2.4,Grade 3/4,$3.25,0.6007694438752875
LL survey,Combined,7,2.6,Grade 3/4,$3.25,0.6914689994839794
LL survey,Combined,8,2.8,Grade 3/4,$3.25,0.7722724252966897
LL survey,Combined,9,3,Grade 4/5,$4.75,0.8433534797840327
LL survey,Combined,10,3.2,Grade 4/5,$4.75,0.9048859214166227
LL survey,Combined,11,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Combined,12,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Combined,13,3.7,Grade 5/7,$7.55,1
LL survey,Combined,14,3.8,Grade 5/7,$7.55,1
LL survey,Combined,15,3.9,Grade 5/7,$7.55,1
LL survey,Combined,16,4,Grade 5/7,$7.55,1
LL survey,Combined,17,4,Grade 5/7,$7.55,1
LL survey,Combined,18,4.1,Grade 5/7,$7.55,1
LL survey,Combined,19,4.2,Grade 5/7,$7.55,1
LL survey,Combined,20,4.2,Grade 5/7,$7.55,1
LL survey,Combined,21,4.3,Grade 5/7,$7.55,1
LL survey,Combined,22,4.3,Grade 5/7,$7.55,1
LL survey,Combined,23,4.3,Grade 5/7,$7.55,1
LL survey,Combined,24,4.4,Grade 5/7,$7.55,1
LL survey,Combined,25,4.4,Grade 5/7,$7.55,1
LL survey,Combined,26,4.4,Grade 5/7,$7.55,1
LL survey,Combined,27,4.4,Grade 5/7,$7.55,1
LL survey,Combined,28,4.5,Grade 5/7,$7.55,1
LL survey,Combined,29,4.5,Grade 5/7,$7.55,1
LL survey,Combined,30,4.5,Grade 5/7,$7.55,1
LL survey,Combined,31,4.5,Grade 5/7,$7.55,1
