year,catch,sigma_catch,upper_catch,lower_catch,fsh_cpue,sigma_fsh_cpue,truesigma_fsh_cpue,upper_fsh_cpue,lower_fsh_cpue,srv_cpue,sigma_srv_cpue,upper_srv_cpue,lower_srv_cpue,mr,sigma_mr,upper_mr,lower_mr,index
1994,2151.456718,0.05,3317.06273,1395.441204,0.450292118,0.1,0.201,0.824679249,0.245868915,NA,NA,NA,NA,NA,NA,NA,NA,19
1995,2084.910381,0.05,3214.463234,1352.279053,0.380265678,0.1,0.201,0.696430608,0.207633014,NA,NA,NA,NA,NA,NA,NA,NA,20
1996,2146.892444,0.05,3310.025646,1392.480802,0.33133308,0.1,0.201,0.606813899,0.180914792,NA,NA,NA,NA,NA,NA,NA,NA,21
1997,2178.760489,0.05,3359.159009,1413.150511,0.284046386,0.08,0.182,0.48925209,0.164909566,0.192077055,0.047987864,0.293605055,0.12565722,NA,NA,NA,NA,22
1998,2163.471059,0.05,3335.586144,1403.233741,0.234149316,0.08,0.152,0.403307515,0.135940691,0.204365469,0.054494084,0.320985469,0.130115687,NA,NA,NA,NA,23
1999,1407.31424,0.05,2169.762271,912.7881871,0.218001214,0.08,0.146,0.375493421,0.126565544,0.194935848,0.061689615,0.314887848,0.120677839,NA,NA,NA,NA,24
2000,1440.48633,0.05,2220.906179,934.3037031,0.219120316,0.08,0.146,0.377421005,0.127215265,0.174571965,0.096294693,0.316279965,0.09635568,NA,NA,NA,NA,25
2001,1025.12848,0.05,1580.517723,664.9013702,0.235194437,0.08,0.156,0.405107671,0.13654746,0.24972312,0.059511806,0.40005512,0.155882611,NA,NA,NA,NA,26
2002,958.5747308,0.05,1477.9068,621.7344115,0.282542094,0.08,0.171,0.48666104,0.164036215,0.2153061,0.048728075,0.3301621,0.14040593,NA,NA,NA,NA,27
2003,959.7824376,0.05,1479.768812,622.5177337,0.33606908,0.08,0.19,0.578857917,0.195112519,0.23207845,0.036844958,0.33693845,0.159852362,NA,NA,NA,NA,28
2004,1057.127213,0.05,1629.852579,685.6558438,0.306564009,0.08,0.182,0.528037282,0.177982682,0.212616983,0.044485852,0.320024983,0.141257664,NA,NA,NA,NA,29
2005,978.6417043,0.05,1508.845563,634.74991,0.302207847,0.08,0.181,0.520534067,0.175453613,0.256183112,0.04434041,0.385347112,0.170313426,1.727570829,0.007122381,2.037728094,1.473441053,30
2006,971.0087171,0.05,1497.077212,629.7991319,0.301809956,0.08,0.179,0.519848725,0.175222609,0.213828733,0.043122125,0.319864733,0.142943946,2.172791794,0.012111159,2.694097951,1.761987107,31
2007,732.8917911,0.05,1129.954428,475.3557879,0.341704235,0.08,0.194,0.588564118,0.198384136,0.225667934,0.041990157,0.335819934,0.151646795,2.739874772,0.012813268,3.418049257,2.195670416,32
2008,741.5761728,0.05,1143.343793,480.9885036,0.397437492,0.08,0.21,0.684561159,0.230741341,0.22485323,0.06313582,0.36518923,0.138445964,1.769783613,0.008553134,2.120683534,1.48068335,33
2009,540.7836269,0.05,833.7668143,350.7538633,0.360763218,0.08,0.205,0.621392021,0.209449261,0.220405545,0.03548655,0.317817545,0.152850605,2.476306142,0.010669238,3.030366036,2.021943928,34
2010,512.926814,0.05,790.8178695,332.6858518,0.358036767,0.08,0.207,0.616695881,0.207866358,0.217932993,0.049256117,0.334944993,0.141798774,2.196092984,0.008410736,2.627559185,1.841062105,35
2011,427.3364349,0.05,658.8567409,277.1716782,0.381112761,0.08,0.22,0.656442834,0.221263649,0.253887051,0.042744564,0.379131051,0.170016764,NA,NA,NA,NA,36
2012,481.4355544,0.05,742.2654246,312.2605275,0.406734722,0.08,0.225,0.700575054,0.236139059,0.271145316,0.033778573,0.387569316,0.189694538,1.851801042,0.007801246,2.201059476,1.556066399,37
2013,471.1047471,0.05,726.3376416,305.5599353,0.385022089,0.08,0.222,0.663176406,0.223533298,0.21010869,0.054535145,0.33006069,0.133750134,2.009979506,0.008120447,2.397412516,1.685751087,38
2014,384.3631061,0.05,592.601526,249.2990498,0.377684467,0.08,0.223,0.650537813,0.219273275,0.207112341,0.039574641,0.304720341,0.140770129,NA,NA,NA,NA,39
2015,383.5055678,0.05,591.2793945,248.7428479,0.334162496,0.08,0.204,0.575573947,0.194005609,0.184720565,0.054862046,0.290560565,0.117433992,1.886497893,0.010569963,2.306430115,1.549390402,40
2016,316.1069539,0.05,487.3658795,205.0279072,0.381224299,0.08,0.228,0.656634951,0.221328405,0.202284907,0.044862821,0.304988907,0.134166138,NA,NA,NA,NA,41
2017,337.6857814,0.05,520.6355817,219.0239987,0.349859728,0.08,0.213,0.602611444,0.203118992,0.227570312,0.070278469,0.379274312,0.136545623,2.061720005,0.011228304,2.536156995,1.674883416,42
2018,396.7972603,0.05,611.7721972,257.3638791,0.380207437,0.08,0.221,0.654883469,0.220738042,0.214028664,0.061098177,0.344956664,0.132794272,2.945189112,0.010398824,3.594937473,2.397142591,43
2019,412.4699117,0.05,635.9359033,267.5292073,0.365659698,0.08,0.223,0.629825902,0.212292023,0.192052226,0.050178223,0.296324226,0.124471961,3.508220449,0.010771157,4.297275981,2.862631413,44
2020,499.4475068,0.05,770.0358071,323.9431332,0.369366633,0.08,0.223,0.636210865,0.214444168,0.357448757,0.037530406,0.520716757,0.245372579,3.069242898,0.011174382,3.773659169,2.493206027,45
2021,491.4047672,0.05,757.6357103,318.7265885,0.403919185,0.08,0.232,0.695725469,0.234504435,0.335922159,0.022295277,0.449406159,0.251095128,NA,NA,NA,NA,46
2022,537.1049958,0.05,828.0951919,348.3678922,0.439652029,0.08,0.252,0.757273052,0.255249947,0.349647617,0.02090623,0.463523617,0.263748063,3.925208107,0.008815524,4.716382693,3.263707398,47
