year,rec,retro
2016,1441074.874971921,retro_6
2017,901336.9395693531,retro_6
1975,1004433.1468360801,retro_7
1976,1012205.4729754291,retro_7
1977,1044719.930866851,retro_7
1978,20128793.93822873,retro_7
1979,1168663.658096333,retro_7
1980,1282172.9749819501,retro_7
1981,1440949.3896623284,retro_7
1982,1592731.7022940314,retro_7
1983,1498324.0720039248,retro_7
1984,1232826.3124094363,retro_7
1985,991934.9449939348,retro_7
1986,820268.7936559402,retro_7
1987,701428.3161906522,retro_7
1988,612801.5628680127,retro_7
1989,551037.8275598324,retro_7
1990,529713.9012990814,retro_7
1991,552213.1775591613,retro_7
1992,584988.4473794024,retro_7
1993,564200.949337873,retro_7
1994,535634.8337260112,retro_7
1995,633679.0004695154,retro_7
1996,783629.6398292824,retro_7
1997,1118684.7538783965,retro_7
1998,1663265.6532361773,retro_7
1999,1535440.4735902648,retro_7
2000,1442183.9559989986,retro_7
2001,1050755.2014024789,retro_7
2002,815896.4858533277,retro_7
2003,672725.501277918,retro_7
2004,659405.1274927516,retro_7
2005,712266.9013570679,retro_7
2006,584939.8996092649,retro_7
2007,528565.7581539891,retro_7
2008,600992.4614348474,retro_7
2009,1285218.6088755007,retro_7
2010,729404.9241524949,retro_7
2011,404961.74221096275,retro_7
2012,438599.90265494754,retro_7
2013,478368.28075128957,retro_7
2014,795524.5962412276,retro_7
2015,2529055.9245369565,retro_7
2016,1512206.6632385955,retro_7
1975,957572.5675697942,retro_8
1976,965699.3147399684,retro_8
1977,995784.8663494682,retro_8
1978,20386195.316378333,retro_8
1979,1111529.6299832647,retro_8
1980,1218211.5207299315,retro_8
1981,1370005.6536851658,retro_8
1982,1528040.6896093083,retro_8
1983,1468333.9893734353,retro_8
1984,1219909.708674015,retro_8
1985,982612.1531331053,retro_8
1986,810560.536830581,retro_8
1987,689733.3109590755,retro_8
1988,605677.1807999479,retro_8
1989,546792.5544820207,retro_8
1990,526342.4303832342,retro_8
1991,547892.3484905608,retro_8
1992,579105.6633629104,retro_8
1993,558962.1768967672,retro_8
1994,532833.8638933414,retro_8
1995,631416.9739281464,retro_8
1996,781306.2489544562,retro_8
1997,1114814.8808931469,retro_8
1998,1672615.9325218473,retro_8
1999,1537263.681765734,retro_8
2000,1460137.4009102737,retro_8
2001,1045316.7330095299,retro_8
2002,797858.7531546954,retro_8
2003,677184.8639957614,retro_8
2004,660627.9909273307,retro_8
2005,699846.8373032307,retro_8
2006,588993.0102476531,retro_8
2007,544995.1092728277,retro_8
2008,635601.1812623481,retro_8
2009,1340420.4266224946,retro_8
2010,773682.5972041968,retro_8
2011,418312.50702717755,retro_8
2012,440699.0698371767,retro_8
2013,493552.634364061,retro_8
2014,760770.0181628645,retro_8
2015,983264.0148950539,retro_8
1975,966656.5257446574,retro_9
1976,974712.6551010646,retro_9
1977,1005220.9389329716,retro_9
1978,20334831.442288682,retro_9
1979,1122490.1098754283,retro_9
1980,1230200.0488026547,retro_9
1981,1382964.487429691,retro_9
1982,1538012.3015724553,retro_9
1983,1469077.0565429097,retro_9
1984,1216572.9195801825,retro_9
1985,978206.3819380596,retro_9
1986,805516.4231893381,retro_9
1987,686414.7907647472,retro_9
1988,602885.2684976408,retro_9
1989,544236.2397391488,retro_9
1990,523748.8560761966,retro_9
1991,545441.312631142,retro_9
1992,576276.8556400574,retro_9
1993,556516.8860373497,retro_9
1994,531601.8439159151,retro_9
1995,634241.8887978446,retro_9
1996,787275.4769637088,retro_9
1997,1144113.4979165946,retro_9
1998,1696947.1172775142,retro_9
1999,1569317.2676926504,retro_9
2000,1521012.4630648245,retro_9
2001,1033814.9853326386,retro_9
2002,790667.2031826685,retro_9
2003,695642.9076578524,retro_9
2004,661088.0754325824,retro_9
2005,706998.9525383665,retro_9
2006,608529.7866993201,retro_9
2007,585467.8052559014,retro_9
2008,671718.8585663259,retro_9
2009,1430061.5168179078,retro_9
2010,949772.22156034806,retro_9
2011,479617.35286921664,retro_9
2012,455040.0760117742,retro_9
2013,455938.0306508139,retro_9
2014,603271.6839320121,retro_9
1975,1019089.5818392239,retro_10
1976,1029563.9162030863,retro_10
1977,1063761.561811034,retro_10
1978,19694134.91067622,retro_10
1979,1188064.0106230087,retro_10
1980,1295238.4145224574,retro_10
1981,1435438.819112294,retro_10
1982,1547672.3997299548,retro_10
1983,1444389.3162101365,retro_10
1984,1198345.0414851527,retro_10
1985,968478.320951398,retro_10
1986,800663.0514964308,retro_10
1987,682583.2534169647,retro_10
1988,599342.4435292167,retro_10
1989,541141.3929681414,retro_10
1990,519807.10526259994,retro_10
1991,538213.2011703445,retro_10
1992,566891.1884994364,retro_10
1993,550087.5262930368,retro_10
1994,531790.2889908545,retro_10
1995,637436.8962184596,retro_10
1996,796716.7596684425,retro_10
1997,1150354.6169503473,retro_10
1998,1678547.3976646205,retro_10
1999,1598562.4936524117,retro_10
2000,1529376.1396443285,retro_10
2001,1010254.7090376666,retro_10
2002,777066.1915332217,retro_10
2003,700133.1180255081,retro_10
2004,651987.5263783183,retro_10
2005,689908.0542364768,retro_10
2006,603419.6455021487,retro_10
2007,595074.11988097,retro_10
2008,679662.8757729422,retro_10
2009,1283557.9396210038,retro_10
2010,1297508.3071313596,retro_10
2011,660240.4506309114,retro_10
2012,682199.3891299547,retro_10
2013,652642.6003706931,retro_10
