Parameter,Estimate,se,,,,
pred_rec.10,967170.7245314475,434120.1076180754,,,,
pred_rec.11,858519.9251819474,363330.3689220685,,,,
pred_rec.12,749361.1985526406,299775.44354371005,,,,
pred_rec.13,652911.7282326617,248345.43616452807,,,,
pred_rec.14,578172.1000013518,211101.0060201623,,,,
pred_rec.15,539002.3035870014,190945.52199171187,,,,
pred_rec.16,529807.6633369576,183198.84175902416,,,,
pred_rec.17,539835.9427454708,183442.5624206278,,,,
pred_rec.18,548852.8265734506,186169.8041630032,,,,
pred_rec.19,597827.1337400738,207096.31377456672,,,,
pred_rec.20,762818.2948030024,263983.51520308177,,,,
pred_rec.21,932259.1900139255,328902.42405575013,,,,
pred_rec.22,1079351.3323508971,425703.02246394055,,,,
pred_rec.23,1763423.554352906,567183.8663153374,,,,
pred_rec.24,1392383.7029281221,545961.1593667351,,,,
pred_rec.25,1371658.6886768832,464787.57632331894,,,,
pred_rec.26,1042385.4120115279,360985.2202,,,,
pred_rec.27,738717.8309405642,255758.45925694614,,,,
pred_rec.28,731994.6048,236730.60611957344,,,,
pred_rec.29,703862.7723812585,230634.9325090966,,,,
pred_rec.30,733894.8516237326,230068.76304742089,,,,
pred_rec.31,639179.8554245787,206045.16271945846,,,,
pred_rec.32,618983.7983716932,199437.38885327766,,,,
pred_rec.33,663453.4046574837,213252.58903538305,,,,
pred_rec.34,785621.3237301835,231479.11714550597,,,,
pred_rec.35,646692.4257,192684.55072135833,,,,
pred_rec.36,434918.8464143673,134142.24000420194,,,,
pred_rec.37,412362.59443453077,122379.14378323672,,,,
pred_rec.38,442972.7093127986,129099.9503057626,,,,
pred_rec.39,764665.2492607891,196757.23921699158,,,,
pred_rec.40,1216112.9259271685,266237.4652775596,,,,
pred_rec.41,946502.0550841307,252728.4872038263,,,,
pred_rec.42,679872.4485526639,229256.33628479953,,,,
pred_rec.43,4293131.247510521,408634.77629453014,,,,
pred_rec.44,953793.8887380608,319844.97114630527,,,,
pred_rec.45,1456719.7116875283,290619.43776517623,,,,
pred_rec.46,745797.4407081798,226382.81938570653,,,,
pred_rec.47,803853.5817395493,357006.5405195974,,,,
pred_rec.48,900739.4253650684,428992.96354255837,,,,
