year,ABC,retro
2011,1.033001766566522,retro_2
2012,1.0350961651972361,retro_2
2013,1.0325024545688672,retro_2
2014,1.0245897887519602,retro_2
2015,1.0151154781995235,retro_2
2016,0.9989036675473963,retro_2
2017,1.0030830725623057,retro_2
2018,1.0189076308517777,retro_2
2019,1.0604947834492624,retro_2
2020,1.1543775238193998,retro_2
2021,1.2890855927232727,retro_2
1975,2.866876954960734,retro_3
1976,2.813910677154703,retro_3
1977,2.7665557083910266,retro_3
1978,2.7519170270165345,retro_3
1979,2.7121222738464765,retro_3
1980,2.65384378827884,retro_3
1981,2.7585121598876623,retro_3
1982,3.091451889946995,retro_3
1983,3.532801161268197,retro_3
1984,3.9771260118984526,retro_3
1985,4.300087065240912,retro_3
1986,4.403088976908055,retro_3
1987,4.521558192779216,retro_3
1988,4.332353326430868,retro_3
1989,4.10580531792675,retro_3
1990,3.8825897148015613,retro_3
1991,3.617900739177909,retro_3
1992,3.3579996999718724,retro_3
1993,3.071650528197637,retro_3
1994,2.6799947914981437,retro_3
1995,2.3771698006316995,retro_3
1996,2.0747798788994305,retro_3
1997,1.7852516290197094,retro_3
1998,1.5282209208866344,retro_3
1999,1.292787847682849,retro_3
2000,1.1669423709173434,retro_3
2001,1.077178440958879,retro_3
2002,1.0630595536257583,retro_3
2003,1.0734299785441876,retro_3
2004,1.091205101922052,retro_3
2005,1.0957797148079522,retro_3
2006,1.0971289280550482,retro_3
2007,1.0820831292450863,retro_3
2008,1.0753396118418306,retro_3
2009,1.0551698199704225,retro_3
2010,1.0446463077763937,retro_3
2011,1.0353180224414715,retro_3
2012,1.0375368724691383,retro_3
2013,1.035441826066499,retro_3
2014,1.0289437324576194,retro_3
2015,1.0216125649557086,retro_3
2016,1.0083075494517808,retro_3
2017,1.0145126395870816,retro_3
2018,1.0345105848770002,retro_3
2019,1.0741680083544216,retro_3
2020,1.1420676560061054,retro_3
1975,2.84036974878033,retro_4
