year,spawn_biom,retro
1987,62.4949896344502,retro_4
1988,59.868212352266845,retro_4
1989,56.36039846162875,retro_4
1990,52.790172923648456,retro_4
1991,49.32685277892089,retro_4
1992,45.33388977215422,retro_4
1993,40.97235696337325,retro_4
1994,36.06343393841032,retro_4
1995,31.896885775332237,retro_4
1996,28.015020455384448,retro_4
1997,24.313990350900077,retro_4
1998,20.88579036646492,retro_4
1999,18.045674646619418,retro_4
2000,16.373355279300675,retro_4
2001,15.262964489266961,retro_4
2002,14.871538624647862,retro_4
2003,14.773389011862443,retro_4
2004,14.622588190061737,retro_4
2005,14.226380774918546,retro_4
2006,13.735931304978676,retro_4
2007,13.141382799279654,retro_4
2008,12.682260079847225,retro_4
2009,12.221222951784352,retro_4
2010,11.939885742235289,retro_4
2011,11.717456212142533,retro_4
2012,11.703250672061591,retro_4
2013,11.633651290703012,retro_4
2014,11.582321530810876,retro_4
2015,11.56357429753144,retro_4
2016,11.549694953203772,retro_4
2017,11.79643942060842,retro_4
1975,47.93399313400943,retro_5
1976,48.33936185538771,retro_5
1977,49.01000423611339,retro_5
1978,49.70201160618347,retro_5
1979,49.8961125032115,retro_5
1980,49.61739701608074,retro_5
1981,49.70314648286063,retro_5
1982,50.951595491169364,retro_5
1983,54.9834709841205,retro_5
1984,58.60759862335505,retro_5
1985,62.773431564630734,retro_5
1986,63.98933751923182,retro_5
1987,62.43175298786267,retro_5
1988,59.78309692709919,retro_5
1989,56.24932426936531,retro_5
1990,52.65744120242274,retro_5
1991,49.186398584136285,retro_5
1992,45.18586705644944,retro_5
1993,40.82035652533602,retro_5
1994,35.91089850378904,retro_5
1995,31.746955540925867,retro_5
1996,27.86964567914365,retro_5
1997,24.174163455729193,retro_5
1998,20.750439199213446,retro_5
1999,17.914546822584203,retro_5
2000,16.243326999957656,retro_5
2001,15.13345139522882,retro_5
2002,14.739612301417083,retro_5
2003,14.637359886327538,retro_5
2004,14.48227289554621,retro_5
2005,14.079861066722467,retro_5
2006,13.58383387209311,retro_5
2007,12.983301207176876,retro_5
2008,12.51892524717845,retro_5
2009,12.057277505779355,retro_5
2010,11.780502996387684,retro_5
2011,11.570642398494513,retro_5
2012,11.584789988262377,retro_5
2013,11.541615619836774,retro_5
2014,11.507353540663999,retro_5
2015,11.442666878366902,retro_5
2016,11.261185379991183,retro_5
1975,47.465855341837674,retro_6
1976,47.566569193902076,retro_6
1977,47.56021649781775,retro_6
1978,47.4475454700849,retro_6
1979,47.05619254428557,retro_6
1980,46.490521814574315,retro_6
1981,47.39106030864186,retro_6
1982,51.847932522303395,retro_6
1983,56.30437283236884,retro_6
1984,61.447880657233355,retro_6
1985,64.37959496897348,retro_6
1986,64.37323121718053,retro_6
1987,62.471863384668815,retro_6
1988,59.658907277749805,retro_6
1989,56.19011628202358,retro_6
1990,52.81564666738317,retro_6
1991,49.29134049811598,retro_6
1992,45.26898052437671,retro_6
1993,40.879568974013374,retro_6
1994,35.960623490676085,retro_6
1995,31.789520312841006,retro_6
1996,27.91875008088245,retro_6
1997,24.21246064977453,retro_6
1998,20.796522630797213,retro_6
1999,17.956570234517184,retro_6
2000,16.286940115989104,retro_6
2001,15.183262172645529,retro_6
2002,14.799637328054942,retro_6
2003,14.703512226907387,retro_6
2004,14.550633832516832,retro_6
2005,14.145974323449172,retro_6
2006,13.643849196424725,retro_6
2007,13.034628221286749,retro_6
2008,12.562959205047997,retro_6
2009,12.090611018137706,retro_6
2010,11.820466243233565,retro_6
2011,11.630186419464948,retro_6
2012,11.690312306742715,retro_6
2013,11.70830125935114,retro_6
2014,11.724980516743537,retro_6
2015,11.672831850997747,retro_6
1975,47.71110217697761,retro_7
1976,48.10190899083201,retro_7
1977,48.73965952095898,retro_7
1978,49.408688345502405,retro_7
1979,49.59061575644095,retro_7
1980,49.32905905047934,retro_7
1981,49.45290270216558,retro_7
1982,50.73313360263261,retro_7
1983,54.75024996926996,retro_7
1984,58.34968692324578,retro_7
1985,62.466478372123795,retro_7
1986,63.65476797654939,retro_7
1987,62.092153711580366,retro_7
1988,59.44779144375154,retro_7
1989,55.922069022991614,retro_7
1990,52.33696196658885,retro_7
1991,48.868318780564564,retro_7
1992,44.87139670068573,retro_7
1993,40.51142896230824,retro_7
1994,35.60989313976223,retro_7
1995,31.455686801646902,retro_7
1996,27.590781346725535,retro_7
1997,23.91031667925338,retro_7
1998,20.504808685522136,retro_7
1999,17.690190310295645,retro_7
2000,16.043354705528962,retro_7
2001,14.95941420108142,retro_7
2002,14.59141816000859,retro_7
2003,14.509216201144824,retro_7
2004,14.363707836020152,retro_7
2005,13.95817182114335,retro_7
2006,13.447632833283835,retro_7
2007,12.827085531736232,retro_7
2008,12.34031677344846,retro_7
2009,11.854217434485337,retro_7
2010,11.560693932455376,retro_7
2011,11.345518022017476,retro_7
2012,11.383390488650344,retro_7
2013,11.403259539396819,retro_7
2014,11.431834826786183,retro_7
1975,47.519743513678996,retro_8
1976,47.855762895710356,retro_8
1977,48.37399952546206,retro_8
1978,48.96484176598075,retro_8
1979,49.119093395293845,retro_8
1980,48.95293040173506,retro_8
1981,49.26189002092308,retro_8
1982,50.71803359019549,retro_8
1983,54.7629406682358,retro_8
1984,58.34636702257551,retro_8
1985,62.35469427144321,retro_8
1986,63.48525522896741,retro_8
1987,61.919207589731606,retro_8
1988,59.289451054338095,retro_8
1989,55.78609949217487,retro_8
1990,52.219720830295344,retro_8
1991,48.75879942689709,retro_8
1992,44.77193750781837,retro_8
1993,40.42263656698114,retro_8
1994,35.53173644852275,retro_8
1995,31.387201264188178,retro_8
1996,27.53138838100119,retro_8
1997,23.860100167801114,retro_8
1998,20.46568560817886,retro_8
1999,17.663225497863152,retro_8
2000,16.03215426115564,retro_8
2001,14.962707059493704,retro_8
2002,14.609844432945332,retro_8
2003,14.534736880035254,retro_8
2004,14.39096723097975,retro_8
2005,13.979971586894225,retro_8
2006,13.459946418866064,retro_8
2007,12.827883329454295,retro_8
2008,12.332554185241186,retro_8
2009,11.83256110640172,retro_8
2010,11.539938818712093,retro_8
2011,11.349027839864592,retro_8
2012,11.449180821512773,retro_8
2013,11.71679764770057,retro_8
1975,47.54455254193859,retro_9
1976,47.85883358271265,retro_9
1977,48.33400741425998,retro_9
1978,48.89720551181583,retro_9
1979,49.04476405602424,retro_9
1980,48.918512265559265,retro_9
1981,49.302032879975776,retro_9
1982,50.83100131322228,retro_9
1983,54.89440215849846,retro_9
1984,58.477600269035584,retro_9
1985,62.4472172361832,retro_9
1986,63.55203251847094,retro_9
1987,61.977516629139195,retro_9
1988,59.34564747708654,retro_9
1989,55.84656135233581,retro_9
1990,52.28703902770729,retro_9
1991,48.831896535477775,retro_9
1992,44.85260865827695,retro_9
1993,40.510800656979626,retro_9
1994,35.62692787983968,retro_9
1995,31.489186535943944,retro_9
1996,27.640825460785223,retro_9
1997,23.978093614178768,retro_9
1998,20.594838743926896,retro_9
1999,17.80595140460742,retro_9
2000,16.193008911899096,retro_9
2001,15.14569479929512,retro_9
2002,14.81192243695751,retro_9
2003,14.75161603366674,retro_9
2004,14.607853125807123,retro_9
2005,14.188058381632656,retro_9
2006,13.6526330254402,retro_9
2007,13.011292711991175,retro_9
2008,12.515281174573456,retro_9
2009,12.016392046140686,retro_9
2010,11.73283007891395,retro_9
2011,11.561390512485568,retro_9
2012,11.688943190322053,retro_9
1975,47.19006281301952,retro_10
1976,47.51860790244406,retro_10
1977,48.02678110578743,retro_10
1978,48.6082003686246,retro_10
1979,48.75490085836736,retro_10
1980,48.58571688058643,retro_10
1981,48.89474371970068,retro_10
1982,50.3441057546753,retro_10
1983,54.35450021169157,retro_10
1984,57.89478861728337,retro_10
1985,61.84214348639676,retro_10
1986,62.92279385242916,retro_10
1987,61.325848651297534,retro_10
1988,58.68606464018367,retro_10
1989,55.196438172623544,retro_10
1990,51.661116577348245,retro_10
1991,48.23940638760745,retro_10
1992,44.29460638593401,retro_10
1993,39.985032555969006,retro_10
1994,35.13067805904725,retro_10
1995,31.01943755369433,retro_10
1996,27.194680047903976,retro_10
1997,23.55291588481995,retro_10
1998,20.18649938270308,retro_10
1999,17.41222588912627,retro_10
2000,15.806851826969199,retro_10
2001,14.761886908069682,retro_10
2002,14.42379409639081,retro_10
2003,14.355947175127493,retro_10
2004,14.206248413770627,retro_10
2005,13.784605647353564,retro_10
2006,13.254095456708905,retro_10
2007,12.620077803720912,retro_10
2008,12.124927378369344,retro_10
2009,11.604255022129445,retro_10
2010,11.259790410868705,retro_10
2011,10.95319220344699,retro_10
