Source,Sex,age,weight
LL survey,Male,16,3.0668
LL fishery,Male,16,3.3352
LL survey,Combined,16,3.7967
LL fishery,Combined,16,4.2449
LL survey,Female,17,4.6515
LL fishery,Female,17,5.0115
LL survey,Male,17,3.0128
LL fishery,Male,17,3.3201
LL survey,Combined,17,3.8601
LL fishery,Combined,17,4.4198
LL survey,Female,18,4.663
LL fishery,Female,18,5.197
LL survey,Male,18,3.1348
LL fishery,Male,18,3.3608
LL survey,Combined,18,3.9684
LL fishery,Combined,18,4.499
LL survey,Female,19,5.2699
LL fishery,Female,19,5.3081
LL survey,Male,19,3.1444
LL fishery,Male,19,3.3932
LL survey,Combined,19,4.2028
LL fishery,Combined,19,4.6054
LL survey,Female,20,5.1785
LL fishery,Female,20,5.4438
LL survey,Male,20,3.2555
LL fishery,Male,20,3.4232
LL survey,Combined,20,4.19
LL fishery,Combined,20,4.6375
LL survey,Female,21,5.3151
LL fishery,Female,21,5.6598
LL survey,Male,21,3.19
LL fishery,Male,21,3.4374
LL survey,Combined,21,4.2481
LL fishery,Combined,21,4.7041
LL survey,Female,22,5.2969
LL fishery,Female,22,5.6466
LL survey,Male,22,3.3452
LL fishery,Male,22,3.5292
LL survey,Combined,22,4.2018
LL fishery,Combined,22,4.7226
LL survey,Female,23,5.5759
LL fishery,Female,23,5.9251
LL survey,Male,23,3.4729
LL fishery,Male,23,3.5354
LL survey,Combined,23,4.2789
LL fishery,Combined,23,4.9278
LL survey,Female,24,5.71
LL fishery,Female,24,5.8678
LL survey,Male,24,3.3559
LL fishery,Male,24,3.4787
LL survey,Combined,24,4.4259
LL fishery,Combined,24,4.7791
LL survey,Female,25,5.8903
LL fishery,Female,25,6.0008
LL survey,Male,25,3.4948
LL fishery,Male,25,3.6562
LL survey,Combined,25,4.5214
LL fishery,Combined,25,4.9795
LL survey,Female,26,6.3059
LL fishery,Female,26,5.988
LL survey,Male,26,3.3879
LL fishery,Male,26,3.66
LL survey,Combined,26,4.7439
LL fishery,Combined,26,4.8385
LL survey,Female,27,6.1393
LL fishery,Female,27,6.2555
LL survey,Male,27,3.4431
LL fishery,Male,27,3.6671
LL survey,Combined,27,4.7427
LL fishery,Combined,27,4.8865
LL survey,Female,28,6.5
LL fishery,Female,28,6.3075
LL survey,Male,28,3.3554
LL fishery,Male,28,3.6962
LL survey,Combined,28,4.789
LL fishery,Combined,28,5.0383
LL survey,Female,29,5.9902
LL fishery,Female,29,6.3595
LL survey,Male,29,3.4984
LL fishery,Male,29,3.6268
LL survey,Combined,29,4.4903
LL fishery,Combined,29,4.9774
LL survey,Female,30,6.1419
LL fishery,Female,30,6.4318
LL survey,Male,30,3.7084
LL fishery,Male,30,3.674
LL survey,Combined,30,4.5389
LL fishery,Combined,30,4.9858
LL survey,Female,31,6.9188
LL fishery,Female,31,6.188
LL survey,Male,31,3.4649
LL fishery,Male,31,3.6367
LL survey,Combined,31,5.0438
LL fishery,Combined,31,4.8061
