year,Fxx,ABC,discarded
2011,0.7,458165.19548710884,13881.143018354356
2012,0.35,1632010.8760821617,48359.3323799106
2012,0.4,1372771.985128993,40576.71650380708
2012,0.5,977555.5741491144,28787.26159944042
2012,0.6,687062.0868579342,20178.232028256843
2012,0.7,462307.35892648535,13536.029169397676
2013,0.35,1628003.8100345836,45490.69863732433
2013,0.4,1369445.3139767265,38174.03845418952
2013,0.5,975233.5118032027,27087.245767318534
2013,0.6,685453.8638236072,18988.931943870415
2013,0.7,461237.4651169213,12739.407093157215
2014,0.35,1608929.772779943,42308.558151733974
2014,0.4,1353451.9896503887,35505.4305015408
2014,0.5,963898.9387780905,25195.521658985035
2014,0.6,677515.1007995051,17663.72251257346
2014,0.7,455909.84982416924,11850.830064618922
2015,0.35,1594020.126185052,40504.90434012542
2015,0.4,1340969.1473391282,33987.55076963225
2015,0.5,955072.3606792428,24113.90749568709
2015,0.6,671343.2316046394,16903.182233204057
2015,0.7,451773.29743141844,11339.420305642736
2016,0.35,1571988.6087493512,41250.10431428387
2016,0.4,1322467.5325555066,34601.39641233857
2016,0.5,941929.8628603547,24537.28195938236
2016,0.6,662122.8600151745,17193.823988288634
2016,0.7,445577.74447069626,11531.254112211476
2017,0.35,1573436.3133994006,47563.53929629948
2017,0.4,1323645.6101876653,39880.69995160039
2017,0.5,942726.8567078725,28263.45702155784
2017,0.6,662661.9555806937,19795.917667550817
2017,0.7,445929.7484608565,13271.796884007574
2018,0.35,1599065.67990433,58700.891829851
2018,0.4,1345097.8369794625,49209.10685259731
2018,0.5,957889.8723258402,34863.90102376718
2018,0.6,673261.6058325868,24413.537251405243
2018,0.7,453032.45188425813,16364.828222997543
2019,0.35,1648728.2648977863,70599.32637402786
2019,0.4,1386715.7780735085,59171.99973361755
2019,0.5,987359.7803735161,41910.17620548339
2019,0.6,693889.7205325383,29341.513772575105
2019,0.7,466869.2352522123,19664.96617189824
2020,0.35,1769002.0060135913,97009.99693515673
2020,0.4,1487558.075867135,81286.96259885126
2020,0.5,1058822.270313946,57551.416824307984
2020,0.6,743940.1001826955,40280.66645351574
2020,0.7,500456.57113588566,26990.63560493678
2021,0.35,1999280.5235111027,116491.55135781158
2021,0.4,1680868.128533338,97669.18093691074
2021,0.5,1196062.277609509,69211.71914223715
2021,0.6,840185.410532048,48472.91641577833
2021,0.7,565108.5598707716,32495.909428767463
2022,0.35,2274432.516313611,121251.8990942314
2022,0.4,1912180.2527973747,101685.55927083064
2022,0.5,1360637.4999585655,72084.77217021256
2022,0.6,955781.879930476,50498.77034060606
2022,0.7,642852.8708510784,33861.08187654765
2023,0.35,2538180.266688835,121821.17867761472
2023,0.4,2134099.4294403666,102168.48697479953
2023,0.5,1518737.6957619295,72433.08047228774
2023,0.6,1066936.211946603,50745.847667678696
2023,0.7,717664.1591751035,34028.35200797299
2024,0.35,2798858.3001190955,132303.10909616176
2024,0.4,2353310.387734425,110944.58736724468
2024,0.5,1674775.6323792636,78639.1413268595
2024,0.6,1176573.6913103869,55085.71971050566
2024,0.7,791420.3234483771,36934.38615217082
2025,0.35,3113413.1505424352,136081.20346026408
2025,0.4,2618007.996680787,114139.89763921824
2025,0.5,1863383.7031465443,80932.71290874515
2025,0.6,1309193.3172136508,56706.77761223224
2025,0.7,880687.1360122052,38028.66908121776
2026,0.35,3365314.0304984124,131184.12542552527
2026,0.4,2830043.916113413,110050.88874426381
2026,0.5,2014533.71592707,78053.03699881086
2026,0.6,1415507.558085248,54699.089044115906
2026,0.7,952264.7296014754,36687.418968741185
